"","results.years","results.price_ton_co2"
"1",2023,7.02880988321099
"2",2024,8.1365263583598
"3",2025,9.32909080022367
"4",2026,10.608015896426
"5",2027,11.9750863575706
"6",2028,13.4323869454741
"7",2029,14.982334039826
"8",2030,16.627711275636
"9",2031,18.3717098773801
"10",2032,20.2179744282087
"11",2033,22.1706549482907
"12",2034,24.2344663207958
"13",2035,26.4147563040805
"14",2036,28.7175836131401
"15",2037,31.1498078535517
"16",2038,33.7191934614192
"17",2039,36.4302335294917
"18",2040,39.2897155498141
"19",2041,42.3101745195286
"20",2042,45.5065963769446
"21",2043,48.9074014883861
"22",2044,52.5304660415826
"23",2045,56.3913435132108
"24",2046,60.5086837392086
"25",2047,64.9047572486021
"26",2048,69.6060898804612
"27",2049,74.6442357289252
"28",2050,80.0567249191442
