"","years","tax_low","tax_high","tax_step"
"1",2023,24.145,101.47,24.145
"2",2024,24.145,101.47,24.145
"3",2025,24.145,101.47,24.145
"4",2026,24.145,101.47,24.145
"5",2027,24.145,101.47,24.145
"6",2028,24.145,101.47,39.61
"7",2029,24.145,101.47,39.61
"8",2030,24.145,101.47,39.61
"9",2031,24.145,101.47,39.61
"10",2032,24.145,101.47,39.61
"11",2033,24.145,101.47,55.075
"12",2034,24.145,101.47,55.075
"13",2035,24.145,101.47,55.075
"14",2036,24.145,101.47,55.075
"15",2037,24.145,101.47,55.075
"16",2038,24.145,101.47,70.54
"17",2039,24.145,101.47,70.54
"18",2040,24.145,101.47,70.54
"19",2041,24.145,101.47,70.54
"20",2042,24.145,101.47,70.54
"21",2043,24.145,101.47,86.005
"22",2044,24.145,101.47,86.005
"23",2045,24.145,101.47,86.005
"24",2046,24.145,101.47,86.005
"25",2047,24.145,101.47,86.005
"26",2048,24.145,101.47,101.47
"27",2049,24.145,101.47,101.47
"28",2050,24.145,101.47,101.47
