quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-15568.0,-12507.0,-12912.0,-12418.0,-16914.0,-16261.0,-12102.0,-20477.0,-12091.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0
total costs [$],-13574.0,-9527.0,9360.0,-15628.0,-21802.0,-29454.0,-13481.0,-23957.0,-16065.0
total future costs [$],-26842.0,-23780.0,-24186.0,-23692.0,-28188.0,-27534.0,-23375.0,-31750.0,-23365.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-12326.0,-9902.0,-10222.0,-9831.0,-13391.0,-12874.0,-9581.0,-16211.0,-9572.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0
total present value costs [$],-9188.0,-5780.0,13193.0,-11898.0,-17136.0,-24924.0,-9818.0,-18549.0,-12403.0
total present value future costs [$],-22456.0,-20032.0,-20353.0,-19962.0,-23522.0,-23004.0,-19712.0,-26342.0,-19703.0
total emissions [tCO$_2$-eq.],-25.58,-19.22,-19.720000000000002,-19.05,-28.96,-27.269999999999996,-21.169999999999998,-35.629999999999995,-18.639999999999997
