quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-18028.0,-14503.0,-14830.0,-14513.0,-19730.0,-18876.0,-14771.0,-23677.0,-13967.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-14365.0,-9855.0,9111.0,-16053.0,-22948.0,-30400.0,-14481.0,-25487.0,-16271.0
total future costs [$],-27633.0,-24108.0,-24434.0,-24117.0,-29334.0,-28480.0,-24375.0,-33280.0,-23571.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-13469.0,-10835.0,-11080.0,-10843.0,-14740.0,-14103.0,-11035.0,-17689.0,-10435.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0
total present value costs [$],-8229.0,-4610.0,14438.0,-10807.0,-16382.0,-24050.0,-9169.0,-17923.0,-11163.0
total present value future costs [$],-21497.0,-18863.0,-19107.0,-18871.0,-22768.0,-22130.0,-19063.0,-25716.0,-18463.0
total emissions [tCO$_2$-eq.],-26.92,-19.950000000000003,-21.43,-18.909999999999997,-29.64999999999999,-28.46,-17.440000000000005,-37.910000000000004,-19.84
