quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-15748.0,-12690.0,-12824.0,-12817.0,-17385.0,-16537.0,-13704.0,-20644.0,-12163.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0
total costs [$],-13576.0,-9533.0,9626.0,-15849.0,-22095.0,-29553.0,-14906.0,-23946.0,-15959.0
total future costs [$],-26844.0,-23785.0,-23920.0,-23913.0,-28481.0,-27633.0,-24800.0,-31739.0,-23259.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-12468.0,-10047.0,-10153.0,-10148.0,-13764.0,-13092.0,-10850.0,-16344.0,-9630.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0
total present value costs [$],-9189.0,-5784.0,13403.0,-12074.0,-17368.0,-25003.0,-10945.0,-18540.0,-12319.0
total present value future costs [$],-22457.0,-20036.0,-20143.0,-20137.0,-23754.0,-23083.0,-20839.0,-26333.0,-19619.0
total emissions [tCO$_2$-eq.],-30.05,-22.900000000000006,-22.979999999999997,-23.119999999999997,-34.31,-32.1,-27.439999999999998,-41.33,-21.98
