quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-24384.0,-19647.0,-19857.0,-19845.0,-26918.0,-25605.0,-21218.0,-31963.0,-18833.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0,-6890.0
total costs [$],-18146.0,-12426.0,6659.0,-18813.0,-27562.0,-34555.0,-18355.0,-31201.0,-18563.0
total future costs [$],-31414.0,-26679.0,-26887.0,-26876.0,-33948.0,-32635.0,-28249.0,-38994.0,-25863.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-17619.0,-14198.0,-14348.0,-14340.0,-19451.0,-18502.0,-15332.0,-23095.0,-13608.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0,-4979.0
total present value costs [$],-9750.0,-5344.0,13798.0,-11676.0,-18464.0,-25821.0,-10837.0,-20702.0,-11708.0
total present value future costs [$],-23018.0,-19596.0,-19747.0,-19740.0,-24849.0,-23901.0,-20731.0,-28495.0,-19008.0
total emissions [tCO$_2$-eq.],-48.919999999999995,-37.849999999999994,-37.97,-38.19,-55.510000000000005,-52.08,-44.87,-66.39,-36.43
