quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-14489.0,-11675.0,-11798.0,-11792.0,-15994.0,-15214.0,-12608.0,-18992.0,-11190.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0
total costs [$],-11960.0,-8162.0,11008.0,-14468.0,-20348.0,-27874.0,-13454.0,-21939.0,-14630.0
total future costs [$],-25228.0,-22414.0,-22538.0,-22531.0,-26734.0,-25954.0,-23348.0,-29732.0,-21930.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-11470.0,-9243.0,-9341.0,-9335.0,-12662.0,-12045.0,-9982.0,-15036.0,-8859.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0
total present value costs [$],-7910.0,-4698.0,14497.0,-10980.0,-15985.0,-23673.0,-9796.0,-16951.0,-11267.0
total present value future costs [$],-21178.0,-18950.0,-19049.0,-19043.0,-22370.0,-21753.0,-19690.0,-24744.0,-18567.0
total emissions [tCO$_2$-eq.],-27.29,-20.730000000000004,-20.8,-20.93,-31.220000000000002,-29.18,-24.900000000000002,-37.67999999999999,-19.880000000000003
