quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10117.0,-8128.0,-8389.0,-8073.0,-10994.0,-10568.0,-7878.0,-13306.0,-7857.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5564.0,-5564.0,-5564.0,-5564.0,-5564.0,-5564.0,-5564.0,-5564.0,-5564.0
total costs [$],-8886.0,-5912.0,13120.0,-12046.0,-16645.0,-24525.0,-10020.0,-17550.0,-12594.0
total future costs [$],-22154.0,-20165.0,-20425.0,-20110.0,-23031.0,-22605.0,-19914.0,-25343.0,-19894.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7694.0,-6181.0,-6380.0,-6139.0,-8361.0,-8037.0,-5990.0,-10119.0,-5975.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4231.0,-4231.0,-4231.0,-4231.0,-4231.0,-4231.0,-4231.0,-4231.0,-4231.0
total present value costs [$],-5019.0,-2522.0,16573.0,-8668.0,-12569.0,-20550.0,-6689.0,-12919.0,-9268.0
total present value future costs [$],-18287.0,-16774.0,-16973.0,-16732.0,-18954.0,-18630.0,-16583.0,-20712.0,-16568.0
total emissions [tCO$_2$-eq.],3.75,4.920000000000002,1.8200000000000003,7.6200000000000045,6.18,4.399999999999999,19.339999999999996,1.9699999999999989,3.3600000000000065
