quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-8415.0,-6760.0,-6978.0,-6715.0,-9145.0,-8790.0,-6553.0,-11068.0,-6535.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0,-4628.0
total costs [$],-6420.0,-3782.0,15294.0,-9925.0,-14033.0,-21983.0,-7932.0,-14548.0,-10509.0
total future costs [$],-19688.0,-18034.0,-18252.0,-17988.0,-20419.0,-20063.0,-17826.0,-22341.0,-17809.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-6662.0,-5353.0,-5525.0,-5316.0,-7240.0,-6959.0,-5188.0,-8763.0,-5174.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0,-3664.0
total present value costs [$],-3524.0,-1230.0,17890.0,-7383.0,-10985.0,-19009.0,-5424.0,-11100.0,-8005.0
total present value future costs [$],-16792.0,-15483.0,-15655.0,-15447.0,-17371.0,-17089.0,-15318.0,-18893.0,-15305.0
total emissions [tCO$_2$-eq.],3.8500000000000014,4.82,2.239999999999995,7.07,5.869999999999997,4.390000000000001,16.82,2.3599999999999994,3.520000000000003
