quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-15116.0,-12143.0,-12537.0,-12057.0,-16423.0,-15788.0,-11751.0,-19882.0,-11739.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0
total costs [$],-12987.0,-9030.0,9869.0,-15133.0,-21175.0,-28846.0,-12995.0,-23227.0,-15578.0
total future costs [$],-26255.0,-23282.0,-23676.0,-23196.0,-27561.0,-26926.0,-22889.0,-31020.0,-22878.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-11967.0,-9614.0,-9925.0,-9546.0,-13002.0,-12499.0,-9303.0,-15740.0,-9294.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0
total present value costs [$],-8723.0,-5385.0,13596.0,-11506.0,-16640.0,-24443.0,-9433.0,-17972.0,-12018.0
total present value future costs [$],-21991.0,-19637.0,-19949.0,-19570.0,-23025.0,-22523.0,-19327.0,-25765.0,-19318.0
total emissions [tCO$_2$-eq.],-24.700000000000003,-18.6,-18.999999999999996,-18.400000000000002,-28.000000000000004,-26.4,-20.400000000000002,-34.5,-18.0
