quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],1299.0,1129.0,-88.0,2109.0,3009.0,1947.0,8947.0,1477.0,618.0
total insurance costs [$],1371.0,1262.0,1262.0,1262.0,1479.0,1479.0,1479.0,1479.0,1262.0
total maintenance costs [$],-6643.0,-6084.0,-6084.0,-6084.0,-7199.0,-7199.0,-7199.0,-7199.0,-6084.0
total costs [$],1794.0,3059.0,21134.0,-2151.0,-3826.0,-25193.0,5620.0,-3951.0,-4405.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],1081.0,953.0,-75.0,1779.0,2472.0,1600.0,7352.0,1213.0,521.0
total present value insurance costs [$],1141.0,1064.0,1064.0,1064.0,1215.0,1215.0,1215.0,1215.0,1064.0
total present value maintenance costs [$],-5531.0,-5133.0,-5133.0,-5133.0,-5916.0,-5916.0,-5916.0,-5916.0,-5133.0
total present value costs [$],2643.0,3820.0,22085.0,-1543.0,-3159.0,-24338.0,5227.0,-3012.0,-3564.0
total emissions [tCO$_2$-eq.],-27.299999999999997,-18.200000000000003,-19.599999999999998,-17.199999999999996,-33.0,-31.700000000000003,-19.6,-42.1,-18.099999999999998
