quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-9923.0,-7266.0,-7760.0,-7010.0,-11378.0,-11134.0,-6740.0,-14222.0,-7121.0
total insurance costs [$],1371.0,1262.0,1262.0,1262.0,1479.0,1479.0,1479.0,1479.0,1262.0
total maintenance costs [$],-6643.0,-6084.0,-6084.0,-6084.0,-7199.0,-7199.0,-7199.0,-7199.0,-6084.0
total costs [$],-9428.0,-5336.0,13463.0,-11269.0,-18213.0,-38274.0,-10066.0,-19649.0,-12144.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-8261.0,-6129.0,-6545.0,-5913.0,-9349.0,-9149.0,-5538.0,-11687.0,-6007.0
total present value insurance costs [$],1141.0,1064.0,1064.0,1064.0,1215.0,1215.0,1215.0,1215.0,1064.0
total present value maintenance costs [$],-5531.0,-5133.0,-5133.0,-5133.0,-5916.0,-5916.0,-5916.0,-5916.0,-5133.0
total present value costs [$],-6700.0,-3262.0,15615.0,-9235.0,-14982.0,-35087.0,-7662.0,-15911.0,-10093.0
total emissions [tCO$_2$-eq.],-38.699999999999996,-26.700000000000003,-27.4,-26.499999999999996,-47.599999999999994,-45.0,-35.5,-58.0,-25.9
