quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11078.0,-8148.0,-8430.0,-8076.0,-13021.0,-12532.0,-9218.0,-15794.0,-7884.0
total insurance costs [$],1371.0,1262.0,1262.0,1262.0,1479.0,1479.0,1479.0,1479.0,1262.0
total maintenance costs [$],-6643.0,-6084.0,-6084.0,-6084.0,-7199.0,-7199.0,-7199.0,-7199.0,-6084.0
total costs [$],-10583.0,-6218.0,12793.0,-12335.0,-19856.0,-39672.0,-12546.0,-21222.0,-12906.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-9222.0,-6873.0,-7112.0,-6813.0,-10700.0,-10297.0,-7575.0,-12979.0,-6650.0
total present value insurance costs [$],1141.0,1064.0,1064.0,1064.0,1215.0,1215.0,1215.0,1215.0,1064.0
total present value maintenance costs [$],-5531.0,-5133.0,-5133.0,-5133.0,-5916.0,-5916.0,-5916.0,-5916.0,-5133.0
total present value costs [$],-7661.0,-4006.0,15048.0,-10135.0,-16333.0,-36236.0,-9700.0,-17205.0,-10736.0
total emissions [tCO$_2$-eq.],-25.699999999999996,-17.0,-18.499999999999996,-15.899999999999999,-30.799999999999997,-29.799999999999997,-17.299999999999997,-39.8,-16.9
