quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-8299.0,-6662.0,-6914.0,-6587.0,-8981.0,-8657.0,-6262.0,-10924.0,-6454.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0
total costs [$],-6170.0,-3548.0,15492.0,-9662.0,-13735.0,-21715.0,-7507.0,-14271.0,-10293.0
total future costs [$],-19438.0,-17801.0,-18053.0,-17726.0,-20120.0,-19795.0,-17401.0,-22064.0,-17593.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-6570.0,-5275.0,-5474.0,-5214.0,-7111.0,-6853.0,-4958.0,-8649.0,-5110.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0
total present value costs [$],-3327.0,-1046.0,18048.0,-7175.0,-10748.0,-18798.0,-5088.0,-10881.0,-7833.0
total present value future costs [$],-16595.0,-15298.0,-15497.0,-15239.0,-17134.0,-16878.0,-14982.0,-18674.0,-15133.0
total emissions [tCO$_2$-eq.],-17.1,-12.3,-13.299999999999997,-11.600000000000001,-19.000000000000004,-18.2,-10.600000000000001,-24.699999999999996,-12.299999999999997
