quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10926.0,-8770.0,-9101.0,-8672.0,-11823.0,-11396.0,-8244.0,-14382.0,-8496.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0
total costs [$],-10046.0,-6907.0,12056.0,-12996.0,-17826.0,-25705.0,-10738.0,-18977.0,-13585.0
total future costs [$],-23314.0,-21159.0,-21490.0,-21060.0,-24211.0,-23785.0,-20632.0,-26770.0,-20885.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8308.0,-6670.0,-6921.0,-6594.0,-8991.0,-8666.0,-6270.0,-10937.0,-6462.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0
total present value costs [$],-5901.0,-3277.0,15763.0,-9391.0,-13465.0,-21446.0,-7235.0,-14004.0,-10022.0
total present value future costs [$],-19169.0,-17530.0,-17782.0,-17454.0,-19851.0,-19526.0,-17129.0,-21797.0,-17322.0
total emissions [tCO$_2$-eq.],-23.9,-17.599999999999998,-18.900000000000002,-16.6,-26.300000000000004,-25.200000000000003,-15.300000000000004,-33.800000000000004,-17.499999999999996
