quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-18272.0,-13462.0,-13765.0,-13471.0,-21668.0,-20731.0,-16223.0,-26003.0,-12964.0
total insurance costs [$],1371.0,1262.0,1262.0,1262.0,1479.0,1479.0,1479.0,1479.0,1262.0
total maintenance costs [$],-6643.0,-6084.0,-6084.0,-6084.0,-7199.0,-7199.0,-7199.0,-7199.0,-6084.0
total costs [$],-17777.0,-11532.0,7458.0,-17730.0,-28504.0,-47872.0,-19550.0,-31432.0,-17987.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-13920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-15211.0,-11356.0,-11612.0,-11364.0,-17806.0,-17035.0,-13330.0,-21368.0,-10935.0
total present value insurance costs [$],1141.0,1064.0,1064.0,1064.0,1215.0,1215.0,1215.0,1215.0,1064.0
total present value maintenance costs [$],-5531.0,-5133.0,-5133.0,-5133.0,-5916.0,-5916.0,-5916.0,-5916.0,-5133.0
total present value costs [$],-13650.0,-8489.0,10548.0,-14686.0,-23438.0,-42974.0,-15455.0,-25593.0,-15021.0
total emissions [tCO$_2$-eq.],-27.299999999999997,-18.200000000000003,-19.599999999999998,-17.199999999999996,-33.0,-31.700000000000003,-19.6,-42.1,-18.099999999999998
