quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-19112.0,-15375.0,-15722.0,-15385.0,-20915.0,-20011.0,-15659.0,-25099.0,-14806.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-12934.0,-8212.0,10735.0,-14411.0,-21619.0,-29020.0,-12855.0,-24396.0,-14596.0
total future costs [$],-26202.0,-22464.0,-22811.0,-22475.0,-28005.0,-27100.0,-22749.0,-32189.0,-21896.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-13810.0,-11109.0,-11360.0,-11117.0,-15113.0,-14459.0,-11315.0,-18137.0,-10698.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0
total present value costs [$],-5984.0,-2299.0,16743.0,-8496.0,-14170.0,-21821.0,-6862.0,-15785.0,-8840.0
total present value future costs [$],-19252.0,-16551.0,-16802.0,-16559.0,-20555.0,-19901.0,-16756.0,-23578.0,-16140.0
total emissions [tCO$_2$-eq.],-28.799999999999997,-21.4,-23.000000000000004,-20.299999999999997,-31.700000000000003,-30.5,-18.799999999999997,-40.49999999999999,-21.300000000000004
