quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-23362.0,-18825.0,-19025.0,-19014.0,-25790.0,-24532.0,-20329.0,-30624.0,-18044.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0
total costs [$],-19745.0,-14223.0,4871.0,-20601.0,-29055.0,-36103.0,-20086.0,-32481.0,-20394.0
total future costs [$],-33013.0,-28476.0,-28675.0,-28665.0,-35441.0,-34183.0,-29980.0,-40274.0,-27694.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-17453.0,-14064.0,-14213.0,-14206.0,-19268.0,-18328.0,-15188.0,-22879.0,-13481.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0
total present value costs [$],-12249.0,-7874.0,11270.0,-14204.0,-20945.0,-28310.0,-13356.0,-23148.0,-14243.0
total present value future costs [$],-25517.0,-22126.0,-22276.0,-22268.0,-27330.0,-26390.0,-23250.0,-30941.0,-21543.0
total emissions [tCO$_2$-eq.],-46.599999999999994,-36.1,-36.199999999999996,-36.4,-53.1,-49.7,-42.8,-63.49999999999999,-34.7
