quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-8171.0,-6565.0,-6775.0,-6519.0,-8880.0,-8535.0,-6362.0,-10746.0,-6345.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0
total costs [$],-6042.0,-3451.0,15631.0,-9595.0,-13632.0,-21593.0,-7607.0,-14092.0,-10184.0
total future costs [$],-19310.0,-17703.0,-17914.0,-17659.0,-20018.0,-19673.0,-17501.0,-21885.0,-17484.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-6469.0,-5197.0,-5364.0,-5161.0,-7030.0,-6757.0,-5037.0,-8508.0,-5023.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0
total present value costs [$],-3224.0,-969.0,18158.0,-7122.0,-10668.0,-18701.0,-5167.0,-10739.0,-7748.0
total present value future costs [$],-16492.0,-15221.0,-15388.0,-15185.0,-17053.0,-16781.0,-15061.0,-18532.0,-15048.0
total emissions [tCO$_2$-eq.],3.8999999999999986,4.799999999999997,2.4000000000000057,7.0,5.799999999999997,4.399999999999999,16.5,2.4000000000000057,3.5
