quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10756.0,-8641.0,-8919.0,-8583.0,-11689.0,-11235.0,-8375.0,-14147.0,-8353.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0
total costs [$],-9876.0,-6777.0,12238.0,-12907.0,-17691.0,-25543.0,-10870.0,-18743.0,-13441.0
total future costs [$],-23144.0,-21029.0,-21307.0,-20971.0,-24077.0,-23623.0,-20764.0,-26536.0,-20741.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8180.0,-6571.0,-6783.0,-6526.0,-8889.0,-8544.0,-6369.0,-10758.0,-6352.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0
total present value costs [$],-5772.0,-3180.0,15903.0,-9324.0,-13364.0,-21324.0,-7336.0,-13826.0,-9912.0
total present value future costs [$],-19040.0,-17432.0,-17642.0,-17387.0,-19750.0,-19404.0,-17230.0,-21619.0,-17212.0
total emissions [tCO$_2$-eq.],3.700000000000003,5.0,1.6999999999999957,7.899999999999999,6.299999999999997,4.399999999999999,20.299999999999997,1.7999999999999972,3.3000000000000043
