quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-12635.0,-10152.0,-10477.0,-10082.0,-13731.0,-13199.0,-9839.0,-16619.0,-9813.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-6457.0,-2988.0,15979.0,-9107.0,-14435.0,-22208.0,-7034.0,-15915.0,-9602.0
total future costs [$],-19725.0,-17241.0,-17567.0,-17171.0,-20821.0,-20288.0,-16928.0,-23708.0,-16902.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0,-1323.0
total present value operations costs [$],-9130.0,-7335.0,-7571.0,-7285.0,-9922.0,-9537.0,-7109.0,-12008.0,-7090.0
total present value insurance costs [$],901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
total present value maintenance costs [$],-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0,-5021.0
total present value costs [$],-1304.0,1475.0,20533.0,-4664.0,-8978.0,-16899.0,-2657.0,-9657.0,-5233.0
total present value future costs [$],-14572.0,-12778.0,-13012.0,-12727.0,-15364.0,-14979.0,-12551.0,-17450.0,-12533.0
total emissions [tCO$_2$-eq.],3.5999999999999943,5.0,1.1999999999999957,8.399999999999999,6.599999999999994,4.3999999999999915,23.000000000000007,1.3000000000000114,3.0999999999999943
