period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,845.0,845.0,1884.0,1884.0,793.0,793.0,-3978.0,56022.0,-3978.0,-3978.0,,,-7143.0,-7143.0,805.0,805.0,1794.0,1794.0,755.0,755.0,-3788.0,56212.0,-3788.0,-3788.0,1.03,10.85
2,2.0,2.0,13000.0,26000,,,,,845.0,1690.0,1884.0,3768.0,793.0,1586.0,3522.0,59544.0,3522.0,-456.0,,,,,767.0,1571.0,1709.0,3503.0,719.0,1475.0,3195.0,59406.0,3195.0,-594.0,1.03,11.89
3,3.0,3.0,13000.0,39000,,,,,845.0,2535.0,1884.0,5652.0,793.0,2379.0,3522.0,63066.0,3522.0,3066.0,,,,,730.0,2301.0,1627.0,5131.0,685.0,2160.0,3043.0,62449.0,3043.0,2449.0,1.03,12.92
4,4.0,4.0,13000.0,52000,,,,,845.0,3381.0,1884.0,7536.0,793.0,3172.0,3522.0,66589.0,3522.0,6589.0,,,,,695.0,2997.0,1550.0,6681.0,652.0,2812.0,2898.0,65346.0,2898.0,5346.0,1.03,13.95
5,5.0,5.0,13000.0,65000,,,,,845.0,4226.0,1884.0,9420.0,793.0,3965.0,3522.0,70111.0,3522.0,10111.0,,,,,662.0,3659.0,1476.0,8157.0,621.0,3433.0,2760.0,68106.0,2760.0,8106.0,1.03,14.98
6,6.0,6.0,13000.0,78000,,,,,845.0,5071.0,1884.0,11304.0,793.0,4758.0,3522.0,73633.0,3522.0,13633.0,,,,,631.0,4290.0,1406.0,9563.0,592.0,4025.0,2628.0,70734.0,2628.0,10734.0,1.03,16.02
7,7.0,7.0,13000.0,91000,,,,,845.0,5916.0,1884.0,13188.0,793.0,5551.0,3522.0,77155.0,3522.0,17155.0,,,,,601.0,4890.0,1339.0,10902.0,564.0,4589.0,2503.0,73238.0,2503.0,13238.0,1.03,17.05
8,8.0,8.0,13000.0,104000,,,,,845.0,6761.0,1884.0,15072.0,793.0,6344.0,3522.0,80677.0,3522.0,20677.0,,,,,572.0,5462.0,1275.0,12177.0,537.0,5125.0,2384.0,75621.0,2384.0,15621.0,1.03,18.08
8.9,8.9,8.9,11700.000000000005,115700,,,,,761.0,7522.0,1696.0,16768.0,714.0,7058.0,3170.0,83847.0,3170.0,23847.0,,,,,493.0,5955.0,1098.0,13275.0,462.0,5588.0,2053.0,77675.0,2053.0,17675.0,0.93,19.01
post-use,8.9,9.790000000000001,0.0,115700,0,60000,0,-7500,0.0,7522.0,0.0,16768.0,0.0,7058.0,0.0,83847.0,0.0,23847.0,0,60000,0.0,-7143.0,0.0,5955.0,0.0,13275.0,0.0,5588.0,0.0,77675.0,0.0,17675.0,0.0,19.01
