period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0,0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,909.0,909.0,1884,1884,793,793,2197.0,62197.0,2197.0,2197.0,,,-1323.0,-1323.0,866.0,866.0,1794.0,1794.0,755.0,755.0,2093.0,62093.0,2093.0,2093.0,1.03,10.85
2,2,2.0,13000,26000,,,,,909.0,1818.0,1884,3768,793,1586,3586.0,65783.0,3586.0,5783.0,,,,,824.0,1690.0,1709.0,3503.0,719.0,1475.0,3252.0,65345.0,3252.0,5345.0,1.03,11.89
3,3,3.0,13000,39000,,,,,909.0,2727.0,1884,5652,793,2379,3586.0,69369.0,3586.0,9369.0,,,,,785.0,2475.0,1627.0,5131.0,685.0,2160.0,3098.0,68443.0,3098.0,8443.0,1.03,12.92
4,4,4.0,13000,52000,,,,,909.0,3635.0,1884,7536,793,3172,3586.0,72955.0,3586.0,12955.0,,,,,748.0,3223.0,1550.0,6681.0,652.0,2812.0,2950.0,71393.0,2950.0,11393.0,1.03,13.95
5,5,5.0,13000,65000,,,,,909.0,4544.0,1884,9420,793,3965,3586.0,76541.0,3586.0,16541.0,,,,,712.0,3935.0,1476.0,8157.0,621.0,3433.0,2810.0,74202.0,2810.0,14202.0,1.03,14.98
6,6,6.0,13000,78000,,,,,909.0,5453.0,1884,11304,793,4758,3586.0,80126.0,3586.0,20126.0,,,,,678.0,4613.0,1406.0,9563.0,592.0,4025.0,2676.0,76878.0,2676.0,16878.0,1.03,16.02
7,7,7.0,13000,91000,,,,,909.0,6362.0,1884,13188,793,5551,3586.0,83712.0,3586.0,23712.0,,,,,646.0,5259.0,1339.0,10902.0,564.0,4589.0,2548.0,79426.0,2548.0,19426.0,1.03,17.05
8,8,8.0,13000,104000,,,,,909.0,7271.0,1884,15072,793,6344,3586.0,87298.0,3586.0,27298.0,,,,,615.0,5874.0,1275.0,12177.0,537.0,5125.0,2427.0,81853.0,2427.0,21853.0,1.03,18.08
9,9,9.0,13000,117000,,,,,909.0,8180.0,1884,16956,793,7137,3586.0,90884.0,3586.0,30884.0,,,,,586.0,6460.0,1214.0,13391.0,511.0,5637.0,2311.0,84165.0,2311.0,24165.0,1.03,19.11
10,10,10.0,13000,130000,,,,,909.0,9088.0,1884,18840,793,7930,3586.0,94470.0,3586.0,34470.0,,,,,558.0,7018.0,1157.0,14548.0,487.0,6123.0,2201.0,86366.0,2201.0,26366.0,1.03,20.15
11,11,11.0,13000,143000,,,,,909.0,9997.0,1884,20724,793,8723,3586.0,98056.0,3586.0,38056.0,,,,,531.0,7549.0,1102.0,15649.0,464.0,6587.0,2097.0,88463.0,2097.0,28463.0,1.03,21.18
12,12,12.0,13000,156000,,,,,909.0,10906.0,1884,22608,793,9516,3586.0,101641.0,3586.0,41641.0,,,,,506.0,8055.0,1049.0,16698.0,442.0,7029.0,1997.0,90460.0,1997.0,30460.0,1.03,22.21
13,13,13.0,13000,169000,,,,,909.0,11815.0,1884,24492,793,10309,3586.0,105227.0,3586.0,45227.0,,,,,482.0,8537.0,999.0,17697.0,421.0,7449.0,1902.0,92361.0,1902.0,32361.0,1.03,23.24
post-use,13,14.3,0,169000,0,60000,0.0,-1389.0,0.0,11815.0,0,24492,0,10309,0.0,105227.0,0.0,45227.0,0,60000,0.0,-1323.0,0.0,8537.0,0.0,17697.0,0.0,7449.0,0.0,92361.0,0.0,32361.0,0.0,23.24
