period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,613.0,613.0,1884,1884,869.0,869.0,-787.0,59213.0,-787.0,-787.0,,,-3955.0,-3955.0,584.0,584.0,1794.0,1794.0,828.0,828.0,-749.0,59251.0,-749.0,-749.0,1.99,11.81
2,2.0,2.0,14250,28500,,,,,613.0,1226.0,1884,3768,869.0,1738.0,3366.0,62579.0,3366.0,2579.0,,,,,556.0,1139.0,1709.0,3503.0,788.0,1616.0,3053.0,62304.0,3053.0,2304.0,1.99,13.8
3,3.0,3.0,14250,42750,,,,,613.0,1838.0,1884,5652,869.0,2608.0,3366.0,65945.0,3366.0,5945.0,,,,,529.0,1669.0,1627.0,5131.0,751.0,2367.0,2908.0,65211.0,2908.0,5211.0,1.99,15.79
4,4.0,4.0,14250,57000,,,,,613.0,2451.0,1884,7536,869.0,3477.0,3366.0,69311.0,3366.0,9311.0,,,,,504.0,2173.0,1550.0,6681.0,715.0,3082.0,2769.0,67981.0,2769.0,7981.0,1.99,17.78
5,5.0,5.0,14250,71250,,,,,613.0,3064.0,1884,9420,869.0,4346.0,3366.0,72677.0,3366.0,12677.0,,,,,480.0,2653.0,1476.0,8157.0,681.0,3763.0,2637.0,70618.0,2637.0,10618.0,1.99,19.77
6,6.0,6.0,14250,85500,,,,,613.0,3677.0,1884,11304,869.0,5216.0,3366.0,76043.0,3366.0,16043.0,,,,,457.0,3110.0,1406.0,9563.0,649.0,4412.0,2512.0,73130.0,2512.0,13130.0,1.99,21.76
7,7.0,7.0,14250,99750,,,,,613.0,4289.0,1884,13188,869.0,6085.0,3366.0,79409.0,3366.0,19409.0,,,,,435.0,3546.0,1339.0,10902.0,618.0,5030.0,2392.0,75522.0,2392.0,15522.0,1.99,23.75
8,8.0,8.0,14250,114000,,,,,613.0,4902.0,1884,15072,869.0,6954.0,3366.0,82775.0,3366.0,22775.0,,,,,415.0,3961.0,1275.0,12177.0,588.0,5618.0,2278.0,77800.0,2278.0,17800.0,1.99,25.74
9,9.0,9.0,14250,128250,,,,,613.0,5515.0,1884,16956,869.0,7823.0,3366.0,86141.0,3366.0,26141.0,,,,,395.0,4356.0,1214.0,13391.0,560.0,6178.0,2170.0,79970.0,2170.0,19970.0,1.99,27.74
10,10.0,10.0,14250,142500,,,,,613.0,6128.0,1884,18840,869.0,8692.0,3366.0,89507.0,3366.0,29507.0,,,,,376.0,4732.0,1157.0,14548.0,534.0,6712.0,2066.0,82036.0,2066.0,22036.0,1.99,29.73
11,11.0,11.0,14250,156750,,,,,613.0,6741.0,1884,20724,869.0,9562.0,3366.0,92873.0,3366.0,32873.0,,,,,358.0,5090.0,1102.0,15649.0,508.0,7220.0,1968.0,84004.0,1968.0,24004.0,1.99,31.72
11.5,11.5,11.5,7125,163875,,,,,306.0,7047.0,942,21666,435.0,9996.0,1683.0,94556.0,1683.0,34556.0,,,,,175.0,5265.0,537.0,16187.0,248.0,7468.0,960.0,84965.0,960.0,24965.0,1.0,32.71
post-use,11.5,12.65,0,163875,0,60000,0,-4153,0.0,7047.0,0,21666,0.0,9996.0,0.0,94556.0,0.0,34556.0,0,60000,0.0,-3955.0,0.0,5265.0,0.0,16187.0,0.0,7468.0,0.0,84965.0,0.0,24965.0,0.0,32.71
