period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,579.0,579.0,1884.0,1884.0,793.0,793.0,-4244.0,55756.0,-4244.0,-4244.0,,,-4076.0,-4076.0,315.0,315.0,1024.0,1024.0,431.0,431.0,-2307.0,57693.0,-2307.0,-2307.0,1.82,11.64
2,2.0,2.0,13000.0,26000,,,,,579.0,1157.0,1884.0,3768.0,793.0,1586.0,3256.0,59011.0,3256.0,-989.0,,,,,171.0,485.0,556.0,1580.0,234.0,665.0,962.0,58655.0,962.0,-1345.0,1.82,13.45
3,3.0,3.0,13000.0,39000,,,,,579.0,1736.0,1884.0,5652.0,793.0,2379.0,3256.0,62267.0,3256.0,2267.0,,,,,93.0,578.0,302.0,1883.0,127.0,793.0,523.0,59178.0,523.0,-822.0,1.82,15.27
4,4.0,4.0,13000.0,52000,,,,,579.0,2315.0,1884.0,7536.0,793.0,3172.0,3256.0,65523.0,3256.0,5523.0,,,,,50.0,629.0,164.0,2047.0,69.0,862.0,284.0,59462.0,284.0,-538.0,1.82,17.09
5,5.0,5.0,13000.0,65000,,,,,579.0,2894.0,1884.0,9420.0,793.0,3965.0,3256.0,68779.0,3256.0,8779.0,,,,,27.0,656.0,89.0,2137.0,38.0,899.0,154.0,59616.0,154.0,-384.0,1.82,18.9
6,6.0,6.0,13000.0,78000,,,,,579.0,3472.0,1884.0,11304.0,793.0,4758.0,3256.0,72034.0,3256.0,12034.0,,,,,15.0,671.0,49.0,2185.0,20.0,920.0,84.0,59700.0,84.0,-300.0,1.82,20.72
7,7.0,7.0,13000.0,91000,,,,,579.0,4051.0,1884.0,13188.0,793.0,5551.0,3256.0,75290.0,3256.0,15290.0,,,,,8.0,679.0,26.0,2211.0,11.0,931.0,46.0,59745.0,46.0,-255.0,1.82,22.53
8,8.0,8.0,13000.0,104000,,,,,579.0,4630.0,1884.0,15072.0,793.0,6344.0,3256.0,78546.0,3256.0,18546.0,,,,,4.0,684.0,14.0,2226.0,6.0,937.0,25.0,59770.0,25.0,-230.0,1.82,24.35
9,9.0,9.0,13000.0,117000,,,,,579.0,5208.0,1884.0,16956.0,793.0,7137.0,3256.0,81801.0,3256.0,21801.0,,,,,2.0,686.0,8.0,2234.0,3.0,940.0,13.0,59784.0,13.0,-216.0,1.82,26.16
9.9,9.9,9.9,11700.000000000005,128700,,,,,521.0,5729.0,1696.0,18652.0,714.0,7851.0,2930.0,84732.0,2930.0,24732.0,,,,,1.0,687.0,4.0,2238.0,2.0,942.0,7.0,59791.0,7.0,-209.0,1.63,27.8
post-use,9.9,10.89,0.0,128700,0,60000,0,-7500,0.0,5729.0,0.0,18652.0,0.0,7851.0,0.0,84732.0,0.0,24732.0,0,60000,0.0,-4076.0,0.0,687.0,0.0,2238.0,0.0,942.0,0.0,59791.0,0.0,-209.0,0.0,27.8
