period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,590.0,590.0,1884,1884,808.0,808.0,1893.0,61893.0,1893.0,1893.0,,,-1323.0,-1323.0,562.0,562.0,1794.0,1794.0,770.0,770.0,1803.0,61803.0,1803.0,1803.0,1.85,11.67
2,2,2.0,13250,26500,,,,,590.0,1180.0,1884,3768,808.0,1616.0,3282.0,65176.0,3282.0,5176.0,,,,,535.0,1097.0,1709.0,3503.0,733.0,1503.0,2977.0,64780.0,2977.0,4780.0,1.85,13.52
3,3,3.0,13250,39750,,,,,590.0,1770.0,1884,5652,808.0,2425.0,3282.0,68458.0,3282.0,8458.0,,,,,510.0,1606.0,1627.0,5131.0,698.0,2201.0,2835.0,67615.0,2835.0,7615.0,1.85,15.37
4,4,4.0,13250,53000,,,,,590.0,2359.0,1884,7536,808.0,3233.0,3282.0,71740.0,3282.0,11740.0,,,,,485.0,2092.0,1550.0,6681.0,665.0,2866.0,2700.0,70316.0,2700.0,10316.0,1.85,17.22
5,5,5.0,13250,66250,,,,,590.0,2949.0,1884,9420,808.0,4041.0,3282.0,75022.0,3282.0,15022.0,,,,,462.0,2554.0,1476.0,8157.0,633.0,3499.0,2572.0,72887.0,2572.0,12887.0,1.85,19.08
6,6,6.0,13250,79500,,,,,590.0,3539.0,1884,11304,808.0,4850.0,3282.0,78304.0,3282.0,18304.0,,,,,440.0,2994.0,1406.0,9563.0,603.0,4102.0,2449.0,75336.0,2449.0,15336.0,1.85,20.93
7,7,7.0,13250,92750,,,,,590.0,4129.0,1884,13188,808.0,5658.0,3282.0,81586.0,3282.0,21586.0,,,,,419.0,3413.0,1339.0,10902.0,574.0,4677.0,2333.0,77669.0,2333.0,17669.0,1.85,22.78
8,8,8.0,13250,106000,,,,,590.0,4719.0,1884,15072,808.0,6466.0,3282.0,84868.0,3282.0,24868.0,,,,,399.0,3812.0,1275.0,12177.0,547.0,5224.0,2221.0,79890.0,2221.0,19890.0,1.85,24.63
9,9,9.0,13250,119250,,,,,590.0,5309.0,1884,16956,808.0,7274.0,3282.0,88150.0,3282.0,28150.0,,,,,380.0,4193.0,1214.0,13391.0,521.0,5745.0,2116.0,82006.0,2116.0,22006.0,1.85,26.48
10,10,10.0,13250,132500,,,,,590.0,5899.0,1884,18840,808.0,8082.0,3282.0,91432.0,3282.0,31432.0,,,,,362.0,4555.0,1157.0,14548.0,496.0,6241.0,2015.0,84021.0,2015.0,24021.0,1.85,28.33
11,11,11.0,13250,145750,,,,,590.0,6488.0,1884,20724,808.0,8891.0,3282.0,94714.0,3282.0,34714.0,,,,,345.0,4900.0,1102.0,15649.0,473.0,6714.0,1919.0,85940.0,1919.0,25940.0,1.85,30.18
12,12,12.0,13250,159000,,,,,590.0,7078.0,1884,22608,808.0,9699.0,3282.0,97997.0,3282.0,37997.0,,,,,328.0,5228.0,1049.0,16698.0,450.0,7164.0,1828.0,87768.0,1828.0,27768.0,1.85,32.03
13,13,13.0,13250,172250,,,,,590.0,7668.0,1884,24492,808.0,10507.0,3282.0,101279.0,3282.0,41279.0,,,,,313.0,5541.0,999.0,17697.0,429.0,7592.0,1741.0,89508.0,1741.0,29508.0,1.85,33.88
post-use,13,14.3,0,172250,0,60000,0.0,-1389.0,0.0,7668.0,0,24492,0.0,10507.0,0.0,101279.0,0.0,41279.0,0,60000,0.0,-1323.0,0.0,5541.0,0.0,17697.0,0.0,7592.0,0.0,89508.0,0.0,29508.0,0.0,33.88
