period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,590.0,590.0,1884,1884,808.0,808.0,1893.0,61893.0,1893.0,1893.0,,,-1208.0,-1208.0,513.0,513.0,1638.0,1638.0,703.0,703.0,1646.0,61646.0,1646.0,1646.0,1.85,11.67
2,2,2.0,13250,26500,,,,,590.0,1180.0,1884,3768,808.0,1616.0,3282.0,65176.0,3282.0,5176.0,,,,,446.0,959.0,1425.0,3063.0,611.0,1314.0,2482.0,64128.0,2482.0,4128.0,1.85,13.52
3,3,3.0,13250,39750,,,,,590.0,1770.0,1884,5652,808.0,2425.0,3282.0,68458.0,3282.0,8458.0,,,,,388.0,1347.0,1239.0,4302.0,531.0,1845.0,2158.0,66286.0,2158.0,6286.0,1.85,15.37
4,4,4.0,13250,53000,,,,,590.0,2359.0,1884,7536,808.0,3233.0,3282.0,71740.0,3282.0,11740.0,,,,,337.0,1684.0,1077.0,5379.0,462.0,2308.0,1877.0,68163.0,1877.0,8163.0,1.85,17.22
5,5,5.0,13250,66250,,,,,590.0,2949.0,1884,9420,808.0,4041.0,3282.0,75022.0,3282.0,15022.0,,,,,293.0,1977.0,937.0,6315.0,402.0,2709.0,1632.0,69795.0,1632.0,9795.0,1.85,19.08
6,6,6.0,13250,79500,,,,,590.0,3539.0,1884,11304,808.0,4850.0,3282.0,78304.0,3282.0,18304.0,,,,,255.0,2232.0,815.0,7130.0,349.0,3059.0,1419.0,71214.0,1419.0,11214.0,1.85,20.93
7,7,7.0,13250,92750,,,,,590.0,4129.0,1884,13188,808.0,5658.0,3282.0,81586.0,3282.0,21586.0,,,,,222.0,2454.0,708.0,7838.0,304.0,3363.0,1234.0,72447.0,1234.0,12447.0,1.85,22.78
8,8,8.0,13250,106000,,,,,590.0,4719.0,1884,15072,808.0,6466.0,3282.0,84868.0,3282.0,24868.0,,,,,193.0,2647.0,616.0,8454.0,264.0,3627.0,1073.0,73520.0,1073.0,13520.0,1.85,24.63
9,9,9.0,13250,119250,,,,,590.0,5309.0,1884,16956,808.0,7274.0,3282.0,88150.0,3282.0,28150.0,,,,,168.0,2815.0,536.0,8990.0,230.0,3857.0,933.0,74453.0,933.0,14453.0,1.85,26.48
10,10,10.0,13250,132500,,,,,590.0,5899.0,1884,18840,808.0,8082.0,3282.0,91432.0,3282.0,31432.0,,,,,146.0,2960.0,466.0,9455.0,200.0,4056.0,811.0,75265.0,811.0,15265.0,1.85,28.33
11,11,11.0,13250,145750,,,,,590.0,6488.0,1884,20724,808.0,8891.0,3282.0,94714.0,3282.0,34714.0,,,,,127.0,3087.0,405.0,9860.0,174.0,4230.0,705.0,75970.0,705.0,15970.0,1.85,30.18
12,12,12.0,13250,159000,,,,,590.0,7078.0,1884,22608,808.0,9699.0,3282.0,97997.0,3282.0,37997.0,,,,,110.0,3197.0,352.0,10212.0,151.0,4381.0,613.0,76583.0,613.0,16583.0,1.85,32.03
13,13,13.0,13250,172250,,,,,590.0,7668.0,1884,24492,808.0,10507.0,3282.0,101279.0,3282.0,41279.0,,,,,96.0,3293.0,306.0,10519.0,131.0,4513.0,533.0,77117.0,533.0,17117.0,1.85,33.88
post-use,13,14.3,0,172250,0,60000,0.0,-1389.0,0.0,7668.0,0,24492,0.0,10507.0,0.0,101279.0,0.0,41279.0,0,60000,0.0,-1208.0,0.0,3293.0,0.0,10519.0,0.0,4513.0,0.0,77117.0,0.0,17117.0,0.0,33.88
