period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,512.0,512.0,1884.0,1884.0,702.0,702.0,-4403.0,55597.0,-4403.0,-4403.0,,,-7143.0,-7143.0,488.0,488.0,1794.0,1794.0,668.0,668.0,-4193.0,55807.0,-4193.0,-4193.0,1.61,11.43
2,2.0,2.0,11500.0,23000,,,,,512.0,1024.0,1884.0,3768.0,702.0,1403.0,3097.0,58695.0,3097.0,-1305.0,,,,,464.0,952.0,1709.0,3503.0,636.0,1304.0,2809.0,58617.0,2809.0,-1383.0,1.61,13.03
3,3.0,3.0,11500.0,34500,,,,,512.0,1536.0,1884.0,5652.0,702.0,2104.0,3097.0,61792.0,3097.0,1792.0,,,,,442.0,1394.0,1627.0,5131.0,606.0,1910.0,2676.0,61292.0,2676.0,1292.0,1.61,14.64
4,4.0,4.0,11500.0,46000,,,,,512.0,2048.0,1884.0,7536.0,702.0,2806.0,3097.0,64890.0,3097.0,4890.0,,,,,421.0,1815.0,1550.0,6681.0,577.0,2487.0,2548.0,63841.0,2548.0,3841.0,1.61,16.25
5,5.0,5.0,11500.0,57500,,,,,512.0,2560.0,1884.0,9420.0,702.0,3508.0,3097.0,67987.0,3097.0,7987.0,,,,,401.0,2216.0,1476.0,8157.0,550.0,3037.0,2427.0,66267.0,2427.0,6267.0,1.61,17.85
6,6.0,6.0,11500.0,69000,,,,,512.0,3072.0,1884.0,11304.0,702.0,4209.0,3097.0,71085.0,3097.0,11085.0,,,,,382.0,2598.0,1406.0,9563.0,523.0,3561.0,2311.0,68579.0,2311.0,8579.0,1.61,19.46
7,7.0,7.0,11500.0,80500,,,,,512.0,3584.0,1884.0,13188.0,702.0,4910.0,3097.0,74182.0,3097.0,14182.0,,,,,364.0,2962.0,1339.0,10902.0,499.0,4059.0,2201.0,70780.0,2201.0,10780.0,1.61,21.07
8,8.0,8.0,11500.0,92000,,,,,512.0,4096.0,1884.0,15072.0,702.0,5612.0,3097.0,77280.0,3097.0,17280.0,,,,,347.0,3309.0,1275.0,12177.0,475.0,4534.0,2096.0,72877.0,2096.0,12877.0,1.61,22.67
8.9,8.9,8.9,10350.000000000004,102350,,,,,461.0,4556.0,1696.0,16768.0,631.0,6243.0,2788.0,80067.0,2788.0,20067.0,,,,,298.0,3607.0,1098.0,13275.0,409.0,4943.0,1806.0,74682.0,1806.0,14682.0,1.45,24.12
post-use,8.9,9.790000000000001,0.0,102350,0,60000,0,-7500,0.0,4556.0,0.0,16768.0,0.0,6243.0,0.0,80067.0,0.0,20067.0,0,60000,0.0,-7143.0,0.0,3607.0,0.0,13275.0,0.0,4943.0,0.0,74682.0,0.0,14682.0,0.0,24.12
