period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,512.0,512.0,1884.0,1884.0,702.0,702.0,-4403.0,55597.0,-4403.0,-4403.0,,,-4190.0,-4190.0,286.0,286.0,1053.0,1053.0,392.0,392.0,-2460.0,57540.0,-2460.0,-2460.0,1.61,11.43
2,2.0,2.0,11500.0,23000,,,,,512.0,1024.0,1884.0,3768.0,702.0,1403.0,3097.0,58695.0,3097.0,-1305.0,,,,,160.0,446.0,588.0,1641.0,219.0,611.0,967.0,58507.0,967.0,-1493.0,1.61,13.03
3,3.0,3.0,11500.0,34500,,,,,512.0,1536.0,1884.0,5652.0,702.0,2104.0,3097.0,61792.0,3097.0,1792.0,,,,,89.0,535.0,328.0,1969.0,122.0,733.0,540.0,59047.0,540.0,-953.0,1.61,14.64
4,4.0,4.0,11500.0,46000,,,,,512.0,2048.0,1884.0,7536.0,702.0,2806.0,3097.0,64890.0,3097.0,4890.0,,,,,50.0,585.0,184.0,2153.0,68.0,801.0,302.0,59349.0,302.0,-651.0,1.61,16.25
5,5.0,5.0,11500.0,57500,,,,,512.0,2560.0,1884.0,9420.0,702.0,3508.0,3097.0,67987.0,3097.0,7987.0,,,,,28.0,613.0,103.0,2255.0,38.0,840.0,169.0,59518.0,169.0,-482.0,1.61,17.85
6,6.0,6.0,11500.0,69000,,,,,512.0,3072.0,1884.0,11304.0,702.0,4209.0,3097.0,71085.0,3097.0,11085.0,,,,,16.0,628.0,57.0,2312.0,21.0,861.0,94.0,59612.0,94.0,-388.0,1.61,19.46
7,7.0,7.0,11500.0,80500,,,,,512.0,3584.0,1884.0,13188.0,702.0,4910.0,3097.0,74182.0,3097.0,14182.0,,,,,9.0,637.0,32.0,2344.0,12.0,873.0,53.0,59664.0,53.0,-336.0,1.61,21.07
8,8.0,8.0,11500.0,92000,,,,,512.0,4096.0,1884.0,15072.0,702.0,5612.0,3097.0,77280.0,3097.0,17280.0,,,,,5.0,642.0,18.0,2362.0,7.0,880.0,29.0,59694.0,29.0,-306.0,1.61,22.67
8.9,8.9,8.9,10350.000000000004,102350,,,,,461.0,4556.0,1696.0,16768.0,631.0,6243.0,2788.0,80067.0,2788.0,20067.0,,,,,3.0,644.0,10.0,2372.0,4.0,883.0,16.0,59709.0,16.0,-291.0,1.45,24.12
post-use,8.9,9.790000000000001,0.0,102350,0,60000,0,-7500,0.0,4556.0,0.0,16768.0,0.0,6243.0,0.0,80067.0,0.0,20067.0,0,60000,0.0,-4190.0,0.0,644.0,0.0,2372.0,0.0,883.0,0.0,59709.0,0.0,-291.0,0.0,24.12
