period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,488.0,488.0,1884.0,1884.0,793.0,793.0,-4335.0,55665.0,-4335.0,-4335.0,,,-7143.0,-7143.0,465.0,465.0,1794.0,1794.0,755.0,755.0,-4129.0,55871.0,-4129.0,-4129.0,0.45,10.27
2,2.0,2.0,13000.0,26000,,,,,488.0,976.0,1884.0,3768.0,793.0,1586.0,3165.0,58830.0,3165.0,-1170.0,,,,,443.0,907.0,1709.0,3503.0,719.0,1475.0,2871.0,58742.0,2871.0,-1258.0,0.45,10.72
3,3.0,3.0,13000.0,39000,,,,,488.0,1464.0,1884.0,5652.0,793.0,2379.0,3165.0,61995.0,3165.0,1995.0,,,,,422.0,1329.0,1627.0,5131.0,685.0,2160.0,2734.0,61476.0,2734.0,1476.0,0.45,11.17
4,4.0,4.0,13000.0,52000,,,,,488.0,1952.0,1884.0,7536.0,793.0,3172.0,3165.0,65160.0,3165.0,5160.0,,,,,401.0,1730.0,1550.0,6681.0,652.0,2812.0,2604.0,64080.0,2604.0,4080.0,0.45,11.62
5,5.0,5.0,13000.0,65000,,,,,488.0,2440.0,1884.0,9420.0,793.0,3965.0,3165.0,68325.0,3165.0,8325.0,,,,,382.0,2113.0,1476.0,8157.0,621.0,3433.0,2480.0,66560.0,2480.0,6560.0,0.45,12.07
6,6.0,6.0,13000.0,78000,,,,,488.0,2928.0,1884.0,11304.0,793.0,4758.0,3165.0,71490.0,3165.0,11490.0,,,,,364.0,2477.0,1406.0,9563.0,592.0,4025.0,2362.0,68922.0,2362.0,8922.0,0.45,12.52
7,7.0,7.0,13000.0,91000,,,,,488.0,3416.0,1884.0,13188.0,793.0,5551.0,3165.0,74655.0,3165.0,14655.0,,,,,347.0,2824.0,1339.0,10902.0,564.0,4589.0,2249.0,71171.0,2249.0,11171.0,0.45,12.97
8,8.0,8.0,13000.0,104000,,,,,488.0,3904.0,1884.0,15072.0,793.0,6344.0,3165.0,77820.0,3165.0,17820.0,,,,,330.0,3154.0,1275.0,12177.0,537.0,5125.0,2142.0,73313.0,2142.0,13313.0,0.45,13.42
8.9,8.9,8.9,11700.000000000005,115700,,,,,439.0,4343.0,1696.0,16768.0,714.0,7058.0,2848.0,80668.0,2848.0,20668.0,,,,,284.0,3438.0,1098.0,13275.0,462.0,5588.0,1845.0,75158.0,1845.0,15158.0,0.41,13.83
post-use,8.9,9.790000000000001,0.0,115700,0,60000,0,-7500,0.0,4343.0,0.0,16768.0,0.0,7058.0,0.0,80668.0,0.0,20668.0,0,60000,0.0,-7143.0,0.0,3438.0,0.0,13275.0,0.0,5588.0,0.0,75158.0,0.0,15158.0,0.0,13.83
