period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,540.0,540.0,1884,1884,869.0,869.0,-860.0,59140.0,-860.0,-860.0,,,-3955.0,-3955.0,514.0,514.0,1794.0,1794.0,828.0,828.0,-819.0,59181.0,-819.0,-819.0,4.35,14.17
2,2.0,2.0,14250,28500,,,,,540.0,1080.0,1884,3768,869.0,1738.0,3293.0,62433.0,3293.0,2433.0,,,,,490.0,1004.0,1709.0,3503.0,788.0,1616.0,2987.0,62168.0,2987.0,2168.0,4.35,18.52
3,3.0,3.0,14250,42750,,,,,540.0,1620.0,1884,5652,869.0,2608.0,3293.0,65727.0,3293.0,5727.0,,,,,466.0,1471.0,1627.0,5131.0,751.0,2367.0,2845.0,65013.0,2845.0,5013.0,4.35,22.87
4,4.0,4.0,14250,57000,,,,,540.0,2160.0,1884,7536,869.0,3477.0,3293.0,69020.0,3293.0,9020.0,,,,,444.0,1915.0,1550.0,6681.0,715.0,3082.0,2709.0,67722.0,2709.0,7722.0,4.35,27.22
5,5.0,5.0,14250,71250,,,,,540.0,2700.0,1884,9420,869.0,4346.0,3293.0,72313.0,3293.0,12313.0,,,,,423.0,2338.0,1476.0,8157.0,681.0,3763.0,2580.0,70303.0,2580.0,10303.0,4.35,31.57
6,6.0,6.0,14250,85500,,,,,540.0,3240.0,1884,11304,869.0,5216.0,3293.0,75606.0,3293.0,15606.0,,,,,403.0,2741.0,1406.0,9563.0,649.0,4412.0,2457.0,72760.0,2457.0,12760.0,4.35,35.91
7,7.0,7.0,14250,99750,,,,,540.0,3780.0,1884,13188,869.0,6085.0,3293.0,78900.0,3293.0,18900.0,,,,,384.0,3125.0,1339.0,10902.0,618.0,5030.0,2340.0,75101.0,2340.0,15101.0,4.35,40.26
8,8.0,8.0,14250,114000,,,,,540.0,4320.0,1884,15072,869.0,6954.0,3293.0,82193.0,3293.0,22193.0,,,,,365.0,3490.0,1275.0,12177.0,588.0,5618.0,2229.0,77330.0,2229.0,17330.0,4.35,44.61
9,9.0,9.0,14250,128250,,,,,540.0,4860.0,1884,16956,869.0,7823.0,3293.0,85486.0,3293.0,25486.0,,,,,348.0,3838.0,1214.0,13391.0,560.0,6178.0,2123.0,79453.0,2123.0,19453.0,4.35,48.96
10,10.0,10.0,14250,142500,,,,,540.0,5400.0,1884,18840,869.0,8692.0,3293.0,88779.0,3293.0,28779.0,,,,,332.0,4170.0,1157.0,14548.0,534.0,6712.0,2022.0,81474.0,2022.0,21474.0,4.35,53.31
11,11.0,11.0,14250,156750,,,,,540.0,5940.0,1884,20724,869.0,9562.0,3293.0,92073.0,3293.0,32073.0,,,,,316.0,4485.0,1102.0,15649.0,508.0,7220.0,1925.0,83400.0,1925.0,23400.0,4.35,57.66
11.5,11.5,11.5,7125,163875,,,,,270.0,6210.0,942,21666,435.0,9996.0,1647.0,93719.0,1647.0,33719.0,,,,,154.0,4639.0,537.0,16187.0,248.0,7468.0,940.0,84339.0,940.0,24339.0,2.17,59.83
post-use,11.5,12.65,0,163875,0,60000,0,-4153,0.0,6210.0,0,21666,0.0,9996.0,0.0,93719.0,0.0,33719.0,0,60000,0.0,-3955.0,0.0,4639.0,0.0,16187.0,0.0,7468.0,0.0,84339.0,0.0,24339.0,0.0,59.83
