period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0,0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,493.0,493.0,1884,1884,793,793,1781.0,61781.0,1781.0,1781.0,,,-1323.0,-1323.0,469.0,469.0,1794.0,1794.0,755.0,755.0,1696.0,61696.0,1696.0,1696.0,3.97,13.79
2,2,2.0,13000,26000,,,,,493.0,985.0,1884,3768,793,1586,3170.0,64951.0,3170.0,4951.0,,,,,447.0,916.0,1709.0,3503.0,719.0,1475.0,2875.0,64571.0,2875.0,4571.0,3.97,17.76
3,3,3.0,13000,39000,,,,,493.0,1478.0,1884,5652,793,2379,3170.0,68120.0,3170.0,8120.0,,,,,426.0,1342.0,1627.0,5131.0,685.0,2160.0,2738.0,67309.0,2738.0,7309.0,3.97,21.72
4,4,4.0,13000,52000,,,,,493.0,1970.0,1884,7536,793,3172,3170.0,71290.0,3170.0,11290.0,,,,,405.0,1747.0,1550.0,6681.0,652.0,2812.0,2608.0,69917.0,2608.0,9917.0,3.97,25.69
5,5,5.0,13000,65000,,,,,493.0,2463.0,1884,9420,793,3965,3170.0,74459.0,3170.0,14459.0,,,,,386.0,2133.0,1476.0,8157.0,621.0,3433.0,2483.0,72400.0,2483.0,12400.0,3.97,29.66
6,6,6.0,13000,78000,,,,,493.0,2956.0,1884,11304,793,4758,3170.0,77629.0,3170.0,17629.0,,,,,368.0,2500.0,1406.0,9563.0,592.0,4025.0,2365.0,74765.0,2365.0,14765.0,3.97,33.63
7,7,7.0,13000,91000,,,,,493.0,3448.0,1884,13188,793,5551,3170.0,80799.0,3170.0,20799.0,,,,,350.0,2850.0,1339.0,10902.0,564.0,4589.0,2253.0,77018.0,2253.0,17018.0,3.97,37.59
8,8,8.0,13000,104000,,,,,493.0,3941.0,1884,15072,793,6344,3170.0,83968.0,3170.0,23968.0,,,,,333.0,3184.0,1275.0,12177.0,537.0,5125.0,2145.0,79163.0,2145.0,19163.0,3.97,41.56
9,9,9.0,13000,117000,,,,,493.0,4434.0,1884,16956,793,7137,3170.0,87138.0,3170.0,27138.0,,,,,318.0,3501.0,1214.0,13391.0,511.0,5637.0,2043.0,81207.0,2043.0,21207.0,3.97,45.53
10,10,10.0,13000,130000,,,,,493.0,4926.0,1884,18840,793,7930,3170.0,90308.0,3170.0,30308.0,,,,,302.0,3804.0,1157.0,14548.0,487.0,6123.0,1946.0,83152.0,1946.0,23152.0,3.97,49.49
11,11,11.0,13000,143000,,,,,493.0,5419.0,1884,20724,793,8723,3170.0,93477.0,3170.0,33477.0,,,,,288.0,4092.0,1102.0,15649.0,464.0,6587.0,1853.0,85006.0,1853.0,25006.0,3.97,53.46
12,12,12.0,13000,156000,,,,,493.0,5911.0,1884,22608,793,9516,3170.0,96647.0,3170.0,36647.0,,,,,274.0,4366.0,1049.0,16698.0,442.0,7029.0,1765.0,86771.0,1765.0,26771.0,3.97,57.43
13,13,13.0,13000,169000,,,,,493.0,6404.0,1884,24492,793,10309,3170.0,99816.0,3170.0,39816.0,,,,,261.0,4627.0,999.0,17697.0,421.0,7449.0,1681.0,88452.0,1681.0,28452.0,3.97,61.4
post-use,13,14.3,0,169000,0,60000,0.0,-1389.0,0.0,6404.0,0,24492,0,10309,0.0,99816.0,0.0,39816.0,0,60000,0.0,-1323.0,0.0,4627.0,0.0,17697.0,0.0,7449.0,0.0,88452.0,0.0,28452.0,0.0,61.4
