period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1.0,1.0,12500.0,12500,,,,,1680.0,1680.0,1788.0,1788.0,1262.0,1262.0,4731.0,56667.0,4731.0,4731.0,,,,,1600.0,1600.0,1703.0,1703.0,1202.0,1202.0,4506.0,56442.0,4506.0,4506.0,3.52,8.99
2,2.0,2.0,12500.0,25000,,,,,1680.0,3361.0,1788.0,3576.0,1262.0,2525.0,4731.0,61398.0,4731.0,9462.0,,,,,1524.0,3124.0,1622.0,3325.0,1145.0,2348.0,4291.0,60733.0,4291.0,8796.0,3.52,12.51
3,3.0,3.0,12500.0,37500,,,,,1680.0,5041.0,1788.0,5364.0,1262.0,3788.0,4731.0,66129.0,4731.0,14192.0,,,,,1451.0,4576.0,1545.0,4869.0,1091.0,3438.0,4087.0,64820.0,4087.0,12883.0,3.52,16.03
4,4.0,4.0,12500.0,50000,,,,,1680.0,6721.0,1788.0,7152.0,1262.0,5050.0,4731.0,70860.0,4731.0,18923.0,,,,,1382.0,5958.0,1471.0,6340.0,1039.0,4477.0,3892.0,68712.0,3892.0,16775.0,3.52,19.55
5,5.0,5.0,12500.0,62500,,,,,1680.0,8401.0,1788.0,8940.0,1262.0,6312.0,4731.0,75590.0,4731.0,23654.0,,,,,1317.0,7275.0,1401.0,7741.0,989.0,5466.0,3707.0,72418.0,3707.0,20482.0,3.52,23.07
6,6.0,6.0,12500.0,75000,,,,,1680.0,10082.0,1788.0,10728.0,1262.0,7575.0,4731.0,80321.0,4731.0,28385.0,,,,,1254.0,8529.0,1334.0,9075.0,942.0,6408.0,3530.0,75948.0,3530.0,24012.0,3.52,26.59
7,7.0,7.0,12500.0,87500,,,,,1680.0,11762.0,1788.0,12516.0,1262.0,8838.0,4731.0,85052.0,4731.0,33115.0,,,,,1194.0,9723.0,1271.0,10346.0,897.0,7305.0,3362.0,79311.0,3362.0,27374.0,3.52,30.11
8,8.0,8.0,12500.0,100000,,,,,1680.0,13442.0,1788.0,14304.0,1262.0,10100.0,4731.0,89783.0,4731.0,37846.0,,,,,1137.0,10860.0,1210.0,11556.0,855.0,8160.0,3202.0,82513.0,3202.0,30576.0,3.52,33.63
8.9,8.9,8.9,11250.000000000004,111250,,,,,1512.0,14954.0,1609.0,15913.0,1136.0,11236.0,4258.0,94040.0,4258.0,42104.0,,,,,980.0,11840.0,1042.0,12599.0,736.0,8896.0,2758.0,85270.0,2758.0,33334.0,3.17,36.8
post-use,8.9,9.790000000000001,0.0,111250,0.0,51936.0,0,0,0.0,14954.0,0.0,15913.0,0.0,11236.0,0.0,94040.0,0.0,42104.0,0.0,51936.0,0,0,0.0,11840.0,0.0,12599.0,0.0,8896.0,0.0,85270.0,0.0,33334.0,0.0,36.8
