period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,51936.0,51936.0,,,0.0,0.0,0,0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1660.0,1660.0,1788,1788,1439.0,1439.0,4887.0,56824.0,4887.0,4887.0,,,,,1612.0,1612.0,1736.0,1736.0,1397.0,1397.0,4745.0,56681.0,4745.0,4745.0,4.01,9.48
2,2.0,2.0,14250,28500,,,,,1660.0,3320.0,1788,3576,1439.0,2878.0,4887.0,61711.0,4887.0,9774.0,,,,,1565.0,3176.0,1685.0,3421.0,1357.0,2754.0,4607.0,61288.0,4607.0,9352.0,4.01,13.5
3,3.0,3.0,14250,42750,,,,,1660.0,4980.0,1788,5364,1439.0,4318.0,4887.0,66598.0,4887.0,14662.0,,,,,1519.0,4695.0,1636.0,5058.0,1317.0,4071.0,4472.0,65761.0,4472.0,13824.0,4.01,17.51
4,4.0,4.0,14250,57000,,,,,1660.0,6640.0,1788,7152,1439.0,5757.0,4887.0,71485.0,4887.0,19549.0,,,,,1475.0,6170.0,1589.0,6646.0,1279.0,5350.0,4342.0,70103.0,4342.0,18166.0,4.01,21.52
5,5.0,5.0,14250,71250,,,,,1660.0,8300.0,1788,8940,1439.0,7196.0,4887.0,76373.0,4887.0,24436.0,,,,,1432.0,7602.0,1542.0,8189.0,1242.0,6591.0,4216.0,74318.0,4216.0,22382.0,4.01,25.54
6,6.0,6.0,14250,85500,,,,,1660.0,9960.0,1788,10728,1439.0,8636.0,4887.0,81260.0,4887.0,29323.0,,,,,1390.0,8992.0,1497.0,9686.0,1205.0,7797.0,4093.0,78411.0,4093.0,26475.0,4.01,29.55
7,7.0,7.0,14250,99750,,,,,1660.0,11620.0,1788,12516,1439.0,10075.0,4887.0,86147.0,4887.0,34210.0,,,,,1350.0,10342.0,1454.0,11140.0,1170.0,8967.0,3974.0,82385.0,3974.0,30449.0,4.01,33.56
8,8.0,8.0,14250,114000,,,,,1660.0,13280.0,1788,14304,1439.0,11514.0,4887.0,91034.0,4887.0,39098.0,,,,,1310.0,11652.0,1411.0,12551.0,1136.0,10103.0,3858.0,86243.0,3858.0,34307.0,4.01,37.58
9,9.0,9.0,14250,128250,,,,,1660.0,14940.0,1788,16092,1439.0,12953.0,4887.0,95921.0,4887.0,43985.0,,,,,1272.0,12925.0,1370.0,13922.0,1103.0,11206.0,3746.0,89989.0,3746.0,38052.0,4.01,41.59
10,10.0,10.0,14250,142500,,,,,1660.0,16600.0,1788,17880,1439.0,14392.0,4887.0,100809.0,4887.0,48872.0,,,,,1235.0,14160.0,1330.0,15252.0,1071.0,12277.0,3637.0,93625.0,3637.0,41689.0,4.01,45.6
11,11.0,11.0,14250,156750,,,,,1660.0,18260.0,1788,19668,1439.0,15832.0,4887.0,105696.0,4887.0,53759.0,,,,,1199.0,15359.0,1292.0,16544.0,1040.0,13317.0,3531.0,97156.0,3531.0,45219.0,4.01,49.62
11.5,11.5,11.5,7125,163875,,,,,830.0,19090.0,894,20562,720.0,16551.0,2444.0,108139.0,2444.0,56203.0,,,,,591.0,15950.0,636.0,17180.0,512.0,13829.0,1739.0,98895.0,1739.0,46959.0,2.01,51.62
post-use,11.5,12.65,0,163875,0.0,51936.0,0,0,0.0,19090.0,0,20562,0.0,16551.0,0.0,108139.0,0.0,56203.0,0.0,51936.0,0,0,0.0,15950.0,0.0,17180.0,0.0,13829.0,0.0,98895.0,0.0,46959.0,0.0,51.62
