period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,51936.0,51936.0,,,0.0,0.0,0,0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,1763.0,1763.0,1788,1788,1338.0,1338.0,4890.0,56826.0,4890.0,4890.0,,,,,1075.0,1075.0,1090.0,1090.0,816.0,816.0,2981.0,54918.0,2981.0,2981.0,3.73,9.2
2,2,2.0,13250,26500,,,,,1763.0,3527.0,1788,3576,1338.0,2676.0,4890.0,61716.0,4890.0,9779.0,,,,,656.0,1731.0,665.0,1755.0,498.0,1314.0,1818.0,56736.0,1818.0,4799.0,3.73,12.93
3,3,3.0,13250,39750,,,,,1763.0,5290.0,1788,5364,1338.0,4015.0,4890.0,66605.0,4890.0,14669.0,,,,,400.0,2131.0,405.0,2160.0,303.0,1617.0,1109.0,57844.0,1109.0,5908.0,3.73,16.67
4,4,4.0,13250,53000,,,,,1763.0,7053.0,1788,7152,1338.0,5353.0,4890.0,71495.0,4890.0,19558.0,,,,,244.0,2374.0,247.0,2408.0,185.0,1802.0,676.0,58520.0,676.0,6584.0,3.73,20.4
5,5,5.0,13250,66250,,,,,1763.0,8816.0,1788,8940,1338.0,6691.0,4890.0,76384.0,4890.0,24448.0,,,,,149.0,2523.0,151.0,2558.0,113.0,1915.0,412.0,58932.0,412.0,6996.0,3.73,24.13
6,6,6.0,13250,79500,,,,,1763.0,10580.0,1788,10728,1338.0,8030.0,4890.0,81274.0,4890.0,29337.0,,,,,91.0,2614.0,92.0,2650.0,69.0,1984.0,251.0,59184.0,251.0,7247.0,3.73,27.86
7,7,7.0,13250,92750,,,,,1763.0,12343.0,1788,12516,1338.0,9368.0,4890.0,86163.0,4890.0,34227.0,,,,,55.0,2669.0,56.0,2706.0,42.0,2025.0,153.0,59337.0,153.0,7400.0,3.73,31.59
8,8,8.0,13250,106000,,,,,1763.0,14106.0,1788,14304,1338.0,10706.0,4890.0,91053.0,4890.0,39116.0,,,,,34.0,2702.0,34.0,2740.0,26.0,2051.0,93.0,59430.0,93.0,7494.0,3.73,35.32
9,9,9.0,13250,119250,,,,,1763.0,15870.0,1788,16092,1338.0,12044.0,4890.0,95942.0,4890.0,44006.0,,,,,21.0,2723.0,21.0,2761.0,16.0,2067.0,57.0,59487.0,57.0,7551.0,3.73,39.06
10,10,10.0,13250,132500,,,,,1763.0,17633.0,1788,17880,1338.0,13382.0,4890.0,100832.0,4890.0,48895.0,,,,,13.0,2736.0,13.0,2774.0,10.0,2076.0,35.0,59522.0,35.0,7586.0,3.73,42.79
11,11,11.0,13250,145750,,,,,1763.0,19396.0,1788,19668,1338.0,14721.0,4890.0,105721.0,4890.0,53785.0,,,,,8.0,2743.0,8.0,2782.0,6.0,2082.0,21.0,59543.0,21.0,7607.0,3.73,46.52
12,12,12.0,13250,159000,,,,,1763.0,21159.0,1788,21456,1338.0,16059.0,4890.0,110611.0,4890.0,58674.0,,,,,5.0,2748.0,5.0,2786.0,4.0,2085.0,13.0,59556.0,13.0,7620.0,3.73,50.25
13,13,13.0,13250,172250,,,,,1763.0,22923.0,1788,23244,1338.0,17397.0,4890.0,115500.0,4890.0,63564.0,,,,,3.0,2751.0,3.0,2789.0,2.0,2088.0,8.0,59564.0,8.0,7628.0,3.73,53.98
post-use,13,14.3,0,172250,0.0,51936.0,0,0,0.0,22923.0,0,23244,0.0,17397.0,0.0,115500.0,0.0,63564.0,0.0,51936.0,0,0,0.0,2751.0,0.0,2789.0,0.0,2088.0,0.0,59564.0,0.0,7628.0,0.0,53.98
