period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,51936.0,51936.0,,,0.0,0.0,0,0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1645.0,1645.0,1788,1788,1439.0,1439.0,4872.0,56808.0,4872.0,4872.0,,,,,1566.0,1566.0,1703.0,1703.0,1371.0,1371.0,4640.0,56576.0,4640.0,4640.0,4.01,9.48
2,2.0,2.0,14250,28500,,,,,1645.0,3289.0,1788,3576,1439.0,2878.0,4872.0,61680.0,4872.0,9744.0,,,,,1492.0,3058.0,1622.0,3325.0,1305.0,2676.0,4419.0,60995.0,4419.0,9059.0,4.01,13.5
3,3.0,3.0,14250,42750,,,,,1645.0,4934.0,1788,5364,1439.0,4318.0,4872.0,66552.0,4872.0,14615.0,,,,,1421.0,4478.0,1545.0,4869.0,1243.0,3919.0,4208.0,65204.0,4208.0,13267.0,4.01,17.51
4,4.0,4.0,14250,57000,,,,,1645.0,6578.0,1788,7152,1439.0,5757.0,4872.0,71424.0,4872.0,19487.0,,,,,1353.0,5831.0,1471.0,6340.0,1184.0,5104.0,4008.0,69212.0,4008.0,17275.0,4.01,21.52
5,5.0,5.0,14250,71250,,,,,1645.0,8223.0,1788,8940,1439.0,7196.0,4872.0,76295.0,4872.0,24359.0,,,,,1289.0,7120.0,1401.0,7741.0,1128.0,6231.0,3817.0,73029.0,3817.0,21092.0,4.01,25.54
6,6.0,6.0,14250,85500,,,,,1645.0,9867.0,1788,10728,1439.0,8636.0,4872.0,81167.0,4872.0,29231.0,,,,,1227.0,8347.0,1334.0,9075.0,1074.0,7305.0,3635.0,76664.0,3635.0,24728.0,4.01,29.55
7,7.0,7.0,14250,99750,,,,,1645.0,11512.0,1788,12516,1439.0,10075.0,4872.0,86039.0,4872.0,34103.0,,,,,1169.0,9516.0,1271.0,10346.0,1023.0,8328.0,3462.0,80126.0,3462.0,28190.0,4.01,33.56
8,8.0,8.0,14250,114000,,,,,1645.0,13156.0,1788,14304,1439.0,11514.0,4872.0,90911.0,4872.0,38974.0,,,,,1113.0,10629.0,1210.0,11556.0,974.0,9302.0,3297.0,83424.0,3297.0,31487.0,4.01,37.58
9,9.0,9.0,14250,128250,,,,,1645.0,14801.0,1788,16092,1439.0,12953.0,4872.0,95783.0,4872.0,43846.0,,,,,1060.0,11689.0,1153.0,12709.0,928.0,10230.0,3140.0,86564.0,3140.0,34628.0,4.01,41.59
10,10.0,10.0,14250,142500,,,,,1645.0,16445.0,1788,17880,1439.0,14392.0,4872.0,100654.0,4872.0,48718.0,,,,,1010.0,12699.0,1098.0,13806.0,884.0,11114.0,2991.0,89555.0,2991.0,37619.0,4.01,45.6
11,11.0,11.0,14250,156750,,,,,1645.0,18090.0,1788,19668,1439.0,15832.0,4872.0,105526.0,4872.0,53590.0,,,,,962.0,13660.0,1045.0,14852.0,841.0,11955.0,2848.0,92404.0,2848.0,40467.0,4.01,49.62
11.5,11.5,11.5,7125,163875,,,,,822.0,18912.0,894,20562,720.0,16551.0,2436.0,107962.0,2436.0,56026.0,,,,,469.0,14129.0,510.0,15362.0,411.0,12366.0,1390.0,93794.0,1390.0,41857.0,2.01,51.62
post-use,11.5,12.65,0,163875,0.0,51936.0,0,0,0.0,18912.0,0,20562,0.0,16551.0,0.0,107962.0,0.0,56026.0,0.0,51936.0,0,0,0.0,14129.0,0.0,15362.0,0.0,12366.0,0.0,93794.0,0.0,41857.0,0.0,51.62
