period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,1327.0,1327.0,1788.0,1788.0,1162.0,1162.0,4277.0,56213.0,4277.0,4277.0,,,,,1264.0,1264.0,1703.0,1703.0,1106.0,1106.0,4073.0,56010.0,4073.0,4073.0,3.24,8.71
2,2.0,2.0,11500.0,23000,,,,,1327.0,2654.0,1788.0,3576.0,1162.0,2323.0,4277.0,60490.0,4277.0,8553.0,,,,,1204.0,2468.0,1622.0,3325.0,1054.0,2160.0,3879.0,59889.0,3879.0,7952.0,3.24,11.95
3,3.0,3.0,11500.0,34500,,,,,1327.0,3982.0,1788.0,5364.0,1162.0,3484.0,4277.0,64767.0,4277.0,12830.0,,,,,1146.0,3614.0,1545.0,4869.0,1003.0,3163.0,3694.0,63583.0,3694.0,11646.0,3.24,15.19
4,4.0,4.0,11500.0,46000,,,,,1327.0,5309.0,1788.0,7152.0,1162.0,4646.0,4277.0,69043.0,4277.0,17107.0,,,,,1092.0,4706.0,1471.0,6340.0,956.0,4119.0,3518.0,67101.0,3518.0,15165.0,3.24,18.43
5,5.0,5.0,11500.0,57500,,,,,1327.0,6636.0,1788.0,8940.0,1162.0,5808.0,4277.0,73320.0,4277.0,21383.0,,,,,1040.0,5746.0,1401.0,7741.0,910.0,5029.0,3351.0,70452.0,3351.0,18516.0,3.24,21.66
6,6.0,6.0,11500.0,69000,,,,,1327.0,7963.0,1788.0,10728.0,1162.0,6969.0,4277.0,77597.0,4277.0,25660.0,,,,,990.0,6736.0,1334.0,9075.0,867.0,5895.0,3191.0,73644.0,3191.0,21707.0,3.24,24.9
7,7.0,7.0,11500.0,80500,,,,,1327.0,9290.0,1788.0,12516.0,1162.0,8130.0,4277.0,81873.0,4277.0,29937.0,,,,,943.0,7680.0,1271.0,10346.0,825.0,6721.0,3039.0,76683.0,3039.0,24746.0,3.24,28.14
8,8.0,8.0,11500.0,92000,,,,,1327.0,10617.0,1788.0,14304.0,1162.0,9292.0,4277.0,86150.0,4277.0,34213.0,,,,,898.0,8578.0,1210.0,11556.0,786.0,7507.0,2895.0,79578.0,2895.0,27641.0,3.24,31.38
8.9,8.9,8.9,10350.000000000004,102350,,,,,1194.0,11812.0,1609.0,15913.0,1045.0,10337.0,3849.0,89999.0,3849.0,38062.0,,,,,774.0,9352.0,1042.0,12599.0,677.0,8184.0,2493.0,82071.0,2493.0,30134.0,2.91,34.3
post-use,8.9,9.790000000000001,0.0,102350,0.0,51936.0,0,0,0.0,11812.0,0.0,15913.0,0.0,10337.0,0.0,89999.0,0.0,38062.0,0.0,51936.0,0,0,0.0,9352.0,0.0,12599.0,0.0,8184.0,0.0,82071.0,0.0,30134.0,0.0,34.3
