period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1595.0,1595.0,1788.0,1788.0,1313.0,1313.0,4696.0,56633.0,4696.0,4696.0,,,,,1519.0,1519.0,1703.0,1703.0,1250.0,1250.0,4473.0,56409.0,4473.0,4473.0,3.66,9.13
2,2.0,2.0,13000.0,26000,,,,,1595.0,3191.0,1788.0,3576.0,1313.0,2626.0,4696.0,61329.0,4696.0,9393.0,,,,,1447.0,2966.0,1622.0,3325.0,1191.0,2441.0,4260.0,60669.0,4260.0,8732.0,3.66,12.79
3,3.0,3.0,13000.0,39000,,,,,1595.0,4786.0,1788.0,5364.0,1313.0,3939.0,4696.0,66025.0,4696.0,14089.0,,,,,1378.0,4344.0,1545.0,4869.0,1134.0,3576.0,4057.0,64726.0,4057.0,12789.0,3.66,16.45
4,4.0,4.0,13000.0,52000,,,,,1595.0,6381.0,1788.0,7152.0,1313.0,5252.0,4696.0,70722.0,4696.0,18785.0,,,,,1312.0,5657.0,1471.0,6340.0,1080.0,4656.0,3864.0,68589.0,3864.0,16653.0,3.66,20.12
5,5.0,5.0,13000.0,65000,,,,,1595.0,7977.0,1788.0,8940.0,1313.0,6565.0,4696.0,75418.0,4696.0,23482.0,,,,,1250.0,6907.0,1401.0,7741.0,1029.0,5685.0,3680.0,72269.0,3680.0,20333.0,3.66,23.78
6,6.0,6.0,13000.0,78000,,,,,1595.0,9572.0,1788.0,10728.0,1313.0,7878.0,4696.0,80114.0,4696.0,28178.0,,,,,1190.0,8097.0,1334.0,9075.0,980.0,6664.0,3504.0,75774.0,3504.0,23837.0,3.66,27.44
7,7.0,7.0,13000.0,91000,,,,,1595.0,11167.0,1788.0,12516.0,1313.0,9191.0,4696.0,84811.0,4696.0,32874.0,,,,,1134.0,9231.0,1271.0,10346.0,933.0,7598.0,3338.0,79111.0,3338.0,27175.0,3.66,31.1
8,8.0,8.0,13000.0,104000,,,,,1595.0,12763.0,1788.0,14304.0,1313.0,10504.0,4696.0,89507.0,4696.0,37571.0,,,,,1080.0,10311.0,1210.0,11556.0,889.0,8486.0,3179.0,82290.0,3179.0,30353.0,3.66,34.76
9,9.0,9.0,13000.0,117000,,,,,1595.0,14358.0,1788.0,16092.0,1313.0,11817.0,4696.0,94203.0,4696.0,42267.0,,,,,1028.0,11339.0,1153.0,12709.0,846.0,9333.0,3027.0,85317.0,3027.0,33381.0,3.66,38.42
10,10.0,10.0,13000.0,130000,,,,,1595.0,15953.0,1788.0,17880.0,1313.0,13130.0,4696.0,98900.0,4696.0,46963.0,,,,,979.0,12319.0,1098.0,13806.0,806.0,10139.0,2883.0,88200.0,2883.0,36264.0,3.66,42.08
10.7,10.7,10.7,9099.99999999999,139100,,,,,1117.0,17070.0,1252.0,19132.0,919.0,14049.0,3287.0,102187.0,3287.0,50251.0,,,,,663.0,12981.0,743.0,14549.0,545.0,10684.0,1950.0,90151.0,1950.0,38214.0,2.56,44.65
post-use,10.7,11.77,0.0,139100,0.0,51936.0,0,0,0.0,17070.0,0.0,19132.0,0.0,14049.0,0.0,102187.0,0.0,50251.0,0.0,51936.0,0,0,0.0,12981.0,0.0,14549.0,0.0,10684.0,0.0,90151.0,0.0,38214.0,0.0,44.65
