period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,12500.0,12500,,,-7500,-7500,741.0,741.0,1884.0,1884.0,762.0,762.0,-4112.0,24888.0,-4112.0,-4112.0,,,-7143.0,-7143.0,706.0,706.0,1794.0,1794.0,726.0,726.0,-3916.0,25084.0,-3916.0,-3916.0,0.84,10.66
2,2.0,2.0,12500.0,25000,,,,,741.0,1483.0,1884.0,3768.0,762.0,1525.0,3388.0,28276.0,3388.0,-724.0,,,,,673.0,1379.0,1709.0,3503.0,692.0,1418.0,3073.0,28157.0,3073.0,-843.0,0.84,11.51
3,3.0,3.0,12500.0,37500,,,,,741.0,2224.0,1884.0,5652.0,762.0,2288.0,3388.0,31664.0,3388.0,2664.0,,,,,641.0,2019.0,1627.0,5131.0,659.0,2076.0,2927.0,31083.0,2927.0,2083.0,0.84,12.35
4,4.0,4.0,12500.0,50000,,,,,741.0,2966.0,1884.0,7536.0,762.0,3050.0,3388.0,35052.0,3388.0,6052.0,,,,,610.0,2629.0,1550.0,6681.0,627.0,2704.0,2787.0,33871.0,2787.0,4871.0,0.84,13.19
5,5.0,5.0,12500.0,62500,,,,,741.0,3707.0,1884.0,9420.0,762.0,3812.0,3388.0,38440.0,3388.0,9440.0,,,,,581.0,3210.0,1476.0,8157.0,597.0,3301.0,2655.0,36525.0,2655.0,7525.0,0.84,14.03
6,6.0,6.0,12500.0,75000,,,,,741.0,4449.0,1884.0,11304.0,762.0,4575.0,3388.0,41828.0,3388.0,12828.0,,,,,553.0,3763.0,1406.0,9563.0,569.0,3870.0,2528.0,39053.0,2528.0,10053.0,0.84,14.88
7,7.0,7.0,12500.0,87500,,,,,741.0,5190.0,1884.0,13188.0,762.0,5338.0,3388.0,45216.0,3388.0,16216.0,,,,,527.0,4290.0,1339.0,10902.0,542.0,4412.0,2408.0,41461.0,2408.0,12461.0,0.84,15.72
8,8.0,8.0,12500.0,100000,,,,,741.0,5932.0,1884.0,15072.0,762.0,6100.0,3388.0,48604.0,3388.0,19604.0,,,,,502.0,4792.0,1275.0,12177.0,516.0,4928.0,2293.0,43754.0,2293.0,14754.0,0.84,16.56
8.9,8.9,8.9,11250.000000000004,111250,,,,,667.0,6599.0,1696.0,16768.0,686.0,6786.0,3049.0,51653.0,3049.0,22653.0,,,,,432.0,5225.0,1098.0,13275.0,445.0,5373.0,1975.0,45729.0,1975.0,16729.0,0.76,17.32
post-use,8.9,9.790000000000001,0.0,111250,0,29000,0,-7500,0.0,6599.0,0.0,16768.0,0.0,6786.0,0.0,51653.0,0.0,22653.0,0,29000,0.0,-7143.0,0.0,5225.0,0.0,13275.0,0.0,5373.0,0.0,45729.0,0.0,16729.0,0.0,17.32
