period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,491.0,491.0,1884.0,1884.0,793.0,793.0,-4332.0,24668.0,-4332.0,-4332.0,,,-7143.0,-7143.0,468.0,468.0,1794.0,1794.0,755.0,755.0,-4126.0,24874.0,-4126.0,-4126.0,1.54,11.36
2,2.0,2.0,13000.0,26000,,,,,491.0,982.0,1884.0,3768.0,793.0,1586.0,3168.0,27836.0,3168.0,-1164.0,,,,,445.0,913.0,1709.0,3503.0,719.0,1475.0,2874.0,27748.0,2874.0,-1252.0,1.54,12.9
3,3.0,3.0,13000.0,39000,,,,,491.0,1473.0,1884.0,5652.0,793.0,2379.0,3168.0,31004.0,3168.0,2004.0,,,,,424.0,1337.0,1627.0,5131.0,685.0,2160.0,2737.0,30484.0,2737.0,1484.0,1.54,14.44
4,4.0,4.0,13000.0,52000,,,,,491.0,1964.0,1884.0,7536.0,793.0,3172.0,3168.0,34172.0,3168.0,5172.0,,,,,404.0,1741.0,1550.0,6681.0,652.0,2812.0,2606.0,33091.0,2606.0,4091.0,1.54,15.98
5,5.0,5.0,13000.0,65000,,,,,491.0,2455.0,1884.0,9420.0,793.0,3965.0,3168.0,37340.0,3168.0,8340.0,,,,,385.0,2126.0,1476.0,8157.0,621.0,3433.0,2482.0,35573.0,2482.0,6573.0,1.54,17.53
6,6.0,6.0,13000.0,78000,,,,,491.0,2946.0,1884.0,11304.0,793.0,4758.0,3168.0,40508.0,3168.0,11508.0,,,,,366.0,2492.0,1406.0,9563.0,592.0,4025.0,2364.0,37937.0,2364.0,8937.0,1.54,19.07
7,7.0,7.0,13000.0,91000,,,,,491.0,3437.0,1884.0,13188.0,793.0,5551.0,3168.0,43676.0,3168.0,14676.0,,,,,349.0,2841.0,1339.0,10902.0,564.0,4589.0,2251.0,40189.0,2251.0,11189.0,1.54,20.61
8,8.0,8.0,13000.0,104000,,,,,491.0,3928.0,1884.0,15072.0,793.0,6344.0,3168.0,46844.0,3168.0,17844.0,,,,,332.0,3174.0,1275.0,12177.0,537.0,5125.0,2144.0,42333.0,2144.0,13333.0,1.54,22.15
9,9.0,9.0,13000.0,117000,,,,,491.0,4419.0,1884.0,16956.0,793.0,7137.0,3168.0,50012.0,3168.0,21012.0,,,,,317.0,3490.0,1214.0,13391.0,511.0,5637.0,2042.0,44375.0,2042.0,15375.0,1.54,23.69
10,10.0,10.0,13000.0,130000,,,,,491.0,4910.0,1884.0,18840.0,793.0,7930.0,3168.0,53180.0,3168.0,24180.0,,,,,301.0,3792.0,1157.0,14548.0,487.0,6123.0,1945.0,46320.0,1945.0,17320.0,1.54,25.23
10.7,10.7,10.7,9099.99999999999,139100,,,,,344.0,5254.0,1319.0,20159.0,555.0,8485.0,2218.0,55398.0,2218.0,26398.0,,,,,204.0,3996.0,782.0,15330.0,329.0,6453.0,1316.0,47636.0,1316.0,18636.0,1.08,26.31
post-use,10.7,11.77,0.0,139100,0,29000,0,-7500,0.0,5254.0,0.0,20159.0,0.0,8485.0,0.0,55398.0,0.0,26398.0,0,29000,0.0,-7143.0,0.0,3996.0,0.0,15330.0,0.0,6453.0,0.0,47636.0,0.0,18636.0,0.0,26.31
