period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,491.0,491.0,1884.0,1884.0,793.0,793.0,-4332.0,24668.0,-4332.0,-4332.0,,,-4076.0,-4076.0,267.0,267.0,1024.0,1024.0,431.0,431.0,-2354.0,26646.0,-2354.0,-2354.0,1.54,11.36
2,2.0,2.0,13000.0,26000,,,,,491.0,982.0,1884.0,3768.0,793.0,1586.0,3168.0,27836.0,3168.0,-1164.0,,,,,145.0,412.0,556.0,1580.0,234.0,665.0,936.0,27581.0,936.0,-1419.0,1.54,12.9
3,3.0,3.0,13000.0,39000,,,,,491.0,1473.0,1884.0,5652.0,793.0,2379.0,3168.0,31004.0,3168.0,2004.0,,,,,79.0,491.0,302.0,1883.0,127.0,793.0,509.0,28090.0,509.0,-910.0,1.54,14.44
4,4.0,4.0,13000.0,52000,,,,,491.0,1964.0,1884.0,7536.0,793.0,3172.0,3168.0,34172.0,3168.0,5172.0,,,,,43.0,534.0,164.0,2047.0,69.0,862.0,276.0,28366.0,276.0,-634.0,1.54,15.98
5,5.0,5.0,13000.0,65000,,,,,491.0,2455.0,1884.0,9420.0,793.0,3965.0,3168.0,37340.0,3168.0,8340.0,,,,,23.0,557.0,89.0,2137.0,38.0,899.0,150.0,28517.0,150.0,-483.0,1.54,17.53
6,6.0,6.0,13000.0,78000,,,,,491.0,2946.0,1884.0,11304.0,793.0,4758.0,3168.0,40508.0,3168.0,11508.0,,,,,13.0,570.0,49.0,2185.0,20.0,920.0,82.0,28598.0,82.0,-402.0,1.54,19.07
7,7.0,7.0,13000.0,91000,,,,,491.0,3437.0,1884.0,13188.0,793.0,5551.0,3168.0,43676.0,3168.0,14676.0,,,,,7.0,576.0,26.0,2211.0,11.0,931.0,44.0,28643.0,44.0,-357.0,1.54,20.61
8,8.0,8.0,13000.0,104000,,,,,491.0,3928.0,1884.0,15072.0,793.0,6344.0,3168.0,46844.0,3168.0,17844.0,,,,,4.0,580.0,14.0,2226.0,6.0,937.0,24.0,28667.0,24.0,-333.0,1.54,22.15
9,9.0,9.0,13000.0,117000,,,,,491.0,4419.0,1884.0,16956.0,793.0,7137.0,3168.0,50012.0,3168.0,21012.0,,,,,2.0,582.0,8.0,2234.0,3.0,940.0,13.0,28680.0,13.0,-320.0,1.54,23.69
9.9,9.9,9.9,11700.000000000005,128700,,,,,442.0,4861.0,1696.0,18652.0,714.0,7851.0,2851.0,52864.0,2851.0,23864.0,,,,,1.0,583.0,4.0,2238.0,2.0,942.0,7.0,28687.0,7.0,-313.0,1.39,25.07
post-use,9.9,10.89,0.0,128700,0,29000,0,-7500,0.0,4861.0,0.0,18652.0,0.0,7851.0,0.0,52864.0,0.0,23864.0,0,29000,0.0,-4076.0,0.0,583.0,0.0,2238.0,0.0,942.0,0.0,28687.0,0.0,-313.0,0.0,25.07
