period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,29000,29000,,,0.0,0.0,0,0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,500.0,500.0,1884,1884,808.0,808.0,1804.0,30804.0,1804.0,1804.0,,,-1323.0,-1323.0,477.0,477.0,1794.0,1794.0,770.0,770.0,1718.0,30718.0,1718.0,1718.0,1.57,11.39
2,2,2.0,13250,26500,,,,,500.0,1001.0,1884,3768,808.0,1616.0,3193.0,33997.0,3193.0,4997.0,,,,,454.0,931.0,1709.0,3503.0,733.0,1503.0,2896.0,33614.0,2896.0,4614.0,1.57,12.96
3,3,3.0,13250,39750,,,,,500.0,1501.0,1884,5652,808.0,2425.0,3193.0,37190.0,3193.0,8190.0,,,,,432.0,1363.0,1627.0,5131.0,698.0,2201.0,2758.0,36372.0,2758.0,7372.0,1.57,14.53
4,4,4.0,13250,53000,,,,,500.0,2002.0,1884,7536,808.0,3233.0,3193.0,40382.0,3193.0,11382.0,,,,,412.0,1775.0,1550.0,6681.0,665.0,2866.0,2627.0,38999.0,2627.0,9999.0,1.57,16.1
5,5,5.0,13250,66250,,,,,500.0,2502.0,1884,9420,808.0,4041.0,3193.0,43575.0,3193.0,14575.0,,,,,392.0,2167.0,1476.0,8157.0,633.0,3499.0,2502.0,41500.0,2502.0,12500.0,1.57,17.67
6,6,6.0,13250,79500,,,,,500.0,3003.0,1884,11304,808.0,4850.0,3193.0,46768.0,3193.0,17768.0,,,,,373.0,2540.0,1406.0,9563.0,603.0,4102.0,2382.0,43883.0,2382.0,14883.0,1.57,19.24
7,7,7.0,13250,92750,,,,,500.0,3503.0,1884,13188,808.0,5658.0,3193.0,49960.0,3193.0,20960.0,,,,,356.0,2896.0,1339.0,10902.0,574.0,4677.0,2269.0,46152.0,2269.0,17152.0,1.57,20.81
8,8,8.0,13250,106000,,,,,500.0,4004.0,1884,15072,808.0,6466.0,3193.0,53153.0,3193.0,24153.0,,,,,339.0,3235.0,1275.0,12177.0,547.0,5224.0,2161.0,48313.0,2161.0,19313.0,1.57,22.38
9,9,9.0,13250,119250,,,,,500.0,4504.0,1884,16956,808.0,7274.0,3193.0,56346.0,3193.0,27346.0,,,,,323.0,3557.0,1214.0,13391.0,521.0,5745.0,2058.0,50371.0,2058.0,21371.0,1.57,23.95
10,10,10.0,13250,132500,,,,,500.0,5005.0,1884,18840,808.0,8082.0,3193.0,59539.0,3193.0,30539.0,,,,,307.0,3865.0,1157.0,14548.0,496.0,6241.0,1960.0,52331.0,1960.0,23331.0,1.57,25.52
11,11,11.0,13250,145750,,,,,500.0,5505.0,1884,20724,808.0,8891.0,3193.0,62731.0,3193.0,33731.0,,,,,293.0,4157.0,1102.0,15649.0,473.0,6714.0,1867.0,54198.0,1867.0,25198.0,1.57,27.1
12,12,12.0,13250,159000,,,,,500.0,6006.0,1884,22608,808.0,9699.0,3193.0,65924.0,3193.0,36924.0,,,,,279.0,4436.0,1049.0,16698.0,450.0,7164.0,1778.0,55975.0,1778.0,26975.0,1.57,28.67
13,13,13.0,13250,172250,,,,,500.0,6506.0,1884,24492,808.0,10507.0,3193.0,69117.0,3193.0,40117.0,,,,,265.0,4701.0,999.0,17697.0,429.0,7592.0,1693.0,57669.0,1693.0,28669.0,1.57,30.24
post-use,13,14.3,0,172250,0,29000,0.0,-1389.0,0.0,6506.0,0,24492,0.0,10507.0,0.0,69117.0,0.0,40117.0,0,29000,0.0,-1323.0,0.0,4701.0,0.0,17697.0,0.0,7592.0,0.0,57669.0,0.0,28669.0,0.0,30.24
