period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,434.0,434.0,1884.0,1884.0,702.0,702.0,-4480.0,24520.0,-4480.0,-4480.0,,,-7143.0,-7143.0,414.0,414.0,1794.0,1794.0,668.0,668.0,-4267.0,24733.0,-4267.0,-4267.0,1.36,11.18
2,2.0,2.0,11500.0,23000,,,,,434.0,869.0,1884.0,3768.0,702.0,1403.0,3020.0,27540.0,3020.0,-1460.0,,,,,394.0,808.0,1709.0,3503.0,636.0,1304.0,2739.0,27472.0,2739.0,-1528.0,1.36,12.55
3,3.0,3.0,11500.0,34500,,,,,434.0,1303.0,1884.0,5652.0,702.0,2104.0,3020.0,30560.0,3020.0,1560.0,,,,,375.0,1183.0,1627.0,5131.0,606.0,1910.0,2609.0,30081.0,2609.0,1081.0,1.36,13.91
4,4.0,4.0,11500.0,46000,,,,,434.0,1738.0,1884.0,7536.0,702.0,2806.0,3020.0,33580.0,3020.0,4580.0,,,,,357.0,1540.0,1550.0,6681.0,577.0,2487.0,2484.0,32565.0,2484.0,3565.0,1.36,15.27
5,5.0,5.0,11500.0,57500,,,,,434.0,2172.0,1884.0,9420.0,702.0,3508.0,3020.0,36599.0,3020.0,7599.0,,,,,340.0,1881.0,1476.0,8157.0,550.0,3037.0,2366.0,34932.0,2366.0,5932.0,1.36,16.64
6,6.0,6.0,11500.0,69000,,,,,434.0,2606.0,1884.0,11304.0,702.0,4209.0,3020.0,39619.0,3020.0,10619.0,,,,,324.0,2205.0,1406.0,9563.0,523.0,3561.0,2253.0,37185.0,2253.0,8185.0,1.36,18.0
7,7.0,7.0,11500.0,80500,,,,,434.0,3041.0,1884.0,13188.0,702.0,4910.0,3020.0,42639.0,3020.0,13639.0,,,,,309.0,2513.0,1339.0,10902.0,499.0,4059.0,2146.0,39331.0,2146.0,10331.0,1.36,19.36
8,8.0,8.0,11500.0,92000,,,,,434.0,3475.0,1884.0,15072.0,702.0,5612.0,3020.0,45659.0,3020.0,16659.0,,,,,294.0,2807.0,1275.0,12177.0,475.0,4534.0,2044.0,41375.0,2044.0,12375.0,1.36,20.73
8.9,8.9,8.9,10350.000000000004,102350,,,,,391.0,3866.0,1696.0,16768.0,631.0,6243.0,2718.0,48377.0,2718.0,19377.0,,,,,253.0,3061.0,1098.0,13275.0,409.0,4943.0,1761.0,43136.0,1761.0,14136.0,1.23,21.95
post-use,8.9,9.790000000000001,0.0,102350,0,29000,0,-7500,0.0,3866.0,0.0,16768.0,0.0,6243.0,0.0,48377.0,0.0,19377.0,0,29000,0.0,-7143.0,0.0,3061.0,0.0,13275.0,0.0,4943.0,0.0,43136.0,0.0,14136.0,0.0,21.95
