period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13750.0,13750,,,-7500,-7500,423.0,423.0,1884.0,1884.0,839.0,839.0,-4354.0,24646.0,-4354.0,-4354.0,,,-7143.0,-7143.0,403.0,403.0,1794.0,1794.0,799.0,799.0,-4147.0,24853.0,-4147.0,-4147.0,0.4,10.23
2,2.0,2.0,13750.0,27500,,,,,423.0,847.0,1884.0,3768.0,839.0,1678.0,3146.0,27792.0,3146.0,-1208.0,,,,,384.0,787.0,1709.0,3503.0,761.0,1560.0,2854.0,27707.0,2854.0,-1293.0,0.4,10.63
3,3.0,3.0,13750.0,41250,,,,,423.0,1270.0,1884.0,5652.0,839.0,2516.0,3146.0,30938.0,3146.0,1938.0,,,,,366.0,1153.0,1627.0,5131.0,725.0,2284.0,2718.0,30425.0,2718.0,1425.0,0.4,11.03
4,4.0,4.0,13750.0,55000,,,,,423.0,1694.0,1884.0,7536.0,839.0,3355.0,3146.0,34085.0,3146.0,5085.0,,,,,348.0,1501.0,1550.0,6681.0,690.0,2974.0,2588.0,33013.0,2588.0,4013.0,0.4,11.44
5,5.0,5.0,13750.0,68750,,,,,423.0,2117.0,1884.0,9420.0,839.0,4194.0,3146.0,37231.0,3146.0,8231.0,,,,,332.0,1833.0,1476.0,8157.0,657.0,3631.0,2465.0,35478.0,2465.0,6478.0,0.4,11.84
6,6.0,6.0,13750.0,82500,,,,,423.0,2540.0,1884.0,11304.0,839.0,5032.0,3146.0,40377.0,3146.0,11377.0,,,,,316.0,2149.0,1406.0,9563.0,626.0,4257.0,2348.0,37826.0,2348.0,8826.0,0.4,12.25
7,7.0,7.0,13750.0,96250,,,,,423.0,2964.0,1884.0,13188.0,839.0,5871.0,3146.0,43523.0,3146.0,14523.0,,,,,301.0,2450.0,1339.0,10902.0,596.0,4853.0,2236.0,40062.0,2236.0,11062.0,0.4,12.65
8,8.0,8.0,13750.0,110000,,,,,423.0,3387.0,1884.0,15072.0,839.0,6710.0,3146.0,46669.0,3146.0,17669.0,,,,,287.0,2736.0,1275.0,12177.0,568.0,5421.0,2129.0,42191.0,2129.0,13191.0,0.4,13.05
9,9.0,9.0,13750.0,123750,,,,,423.0,3810.0,1884.0,16956.0,839.0,7549.0,3146.0,49815.0,3146.0,20815.0,,,,,273.0,3009.0,1214.0,13391.0,541.0,5962.0,2028.0,44219.0,2028.0,15219.0,0.4,13.46
10,10.0,10.0,13750.0,137500,,,,,423.0,4234.0,1884.0,18840.0,839.0,8388.0,3146.0,52961.0,3146.0,23961.0,,,,,260.0,3269.0,1157.0,14548.0,515.0,6477.0,1931.0,46151.0,1931.0,17151.0,0.4,13.86
10.7,10.7,10.7,9624.99999999999,147125,,,,,296.0,4530.0,1319.0,20159.0,587.0,8975.0,2202.0,55164.0,2202.0,26164.0,,,,,176.0,3445.0,782.0,15330.0,348.0,6825.0,1307.0,47457.0,1307.0,18457.0,0.28,14.15
post-use,10.7,11.77,0.0,147125,0,29000,0,-7500,0.0,4530.0,0.0,20159.0,0.0,8975.0,0.0,55164.0,0.0,26164.0,0,29000,0.0,-7143.0,0.0,3445.0,0.0,15330.0,0.0,6825.0,0.0,47457.0,0.0,18457.0,0.0,14.15
