period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,354.0,354.0,1884.0,1884.0,702.0,702.0,-4560.0,24440.0,-4560.0,-4560.0,,,-7143.0,-7143.0,337.0,337.0,1794.0,1794.0,668.0,668.0,-4343.0,24657.0,-4343.0,-4343.0,0.34,10.16
2,2.0,2.0,11500.0,23000,,,,,354.0,708.0,1884.0,3768.0,702.0,1403.0,2940.0,27379.0,2940.0,-1621.0,,,,,321.0,658.0,1709.0,3503.0,636.0,1304.0,2666.0,27323.0,2666.0,-1677.0,0.34,10.5
3,3.0,3.0,11500.0,34500,,,,,354.0,1062.0,1884.0,5652.0,702.0,2104.0,2940.0,30319.0,2940.0,1319.0,,,,,306.0,964.0,1627.0,5131.0,606.0,1910.0,2539.0,29862.0,2539.0,862.0,0.34,10.84
4,4.0,4.0,11500.0,46000,,,,,354.0,1416.0,1884.0,7536.0,702.0,2806.0,2940.0,33258.0,2940.0,4258.0,,,,,291.0,1256.0,1550.0,6681.0,577.0,2487.0,2418.0,32281.0,2418.0,3281.0,0.34,11.17
5,5.0,5.0,11500.0,57500,,,,,354.0,1771.0,1884.0,9420.0,702.0,3508.0,2940.0,36198.0,2940.0,7198.0,,,,,277.0,1533.0,1476.0,8157.0,550.0,3037.0,2303.0,34584.0,2303.0,5584.0,0.34,11.51
6,6.0,6.0,11500.0,69000,,,,,354.0,2125.0,1884.0,11304.0,702.0,4209.0,2940.0,39138.0,2940.0,10138.0,,,,,264.0,1797.0,1406.0,9563.0,523.0,3561.0,2194.0,36778.0,2194.0,7778.0,0.34,11.85
7,7.0,7.0,11500.0,80500,,,,,354.0,2479.0,1884.0,13188.0,702.0,4910.0,2940.0,42077.0,2940.0,13077.0,,,,,252.0,2049.0,1339.0,10902.0,499.0,4059.0,2089.0,38867.0,2089.0,9867.0,0.34,12.19
8,8.0,8.0,11500.0,92000,,,,,354.0,2833.0,1884.0,15072.0,702.0,5612.0,2940.0,45017.0,2940.0,16017.0,,,,,240.0,2289.0,1275.0,12177.0,475.0,4534.0,1990.0,40856.0,1990.0,11856.0,0.34,12.53
8.9,8.9,8.9,10350.000000000004,102350,,,,,319.0,3152.0,1696.0,16768.0,631.0,6243.0,2646.0,47662.0,2646.0,18662.0,,,,,206.0,2495.0,1098.0,13275.0,409.0,4943.0,1714.0,42570.0,1714.0,13570.0,0.3,12.83
post-use,8.9,9.790000000000001,0.0,102350,0,29000,0,-7500,0.0,3152.0,0.0,16768.0,0.0,6243.0,0.0,47662.0,0.0,18662.0,0,29000,0.0,-7143.0,0.0,2495.0,0.0,13275.0,0.0,4943.0,0.0,42570.0,0.0,13570.0,0.0,12.83
