period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,29000,29000,,,0.0,0.0,0,0,0,0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,414.0,414.0,1884,1884,793,793,1702.0,30702.0,1702.0,1702.0,,,-1323.0,-1323.0,394.0,394.0,1794.0,1794.0,755.0,755.0,1621.0,30621.0,1621.0,1621.0,3.37,13.19
2,2,2.0,13000,26000,,,,,414.0,828.0,1884,3768,793,1586,3091.0,33793.0,3091.0,4793.0,,,,,376.0,770.0,1709.0,3503.0,719.0,1475.0,2804.0,33425.0,2804.0,4425.0,3.37,16.55
3,3,3.0,13000,39000,,,,,414.0,1242.0,1884,5652,793,2379,3091.0,36884.0,3091.0,7884.0,,,,,358.0,1128.0,1627.0,5131.0,685.0,2160.0,2670.0,36095.0,2670.0,7095.0,3.37,19.92
4,4,4.0,13000,52000,,,,,414.0,1656.0,1884,7536,793,3172,3091.0,39976.0,3091.0,10976.0,,,,,341.0,1468.0,1550.0,6681.0,652.0,2812.0,2543.0,38638.0,2543.0,9638.0,3.37,23.29
5,5,5.0,13000,65000,,,,,414.0,2070.0,1884,9420,793,3965,3091.0,43067.0,3091.0,14067.0,,,,,324.0,1793.0,1476.0,8157.0,621.0,3433.0,2422.0,41060.0,2422.0,12060.0,3.37,26.65
6,6,6.0,13000,78000,,,,,414.0,2484.0,1884,11304,793,4758,3091.0,46158.0,3091.0,17158.0,,,,,309.0,2102.0,1406.0,9563.0,592.0,4025.0,2307.0,43367.0,2307.0,14367.0,3.37,30.02
7,7,7.0,13000,91000,,,,,414.0,2898.0,1884,13188,793,5551,3091.0,49249.0,3091.0,20249.0,,,,,294.0,2396.0,1339.0,10902.0,564.0,4589.0,2197.0,45563.0,2197.0,16563.0,3.37,33.39
8,8,8.0,13000,104000,,,,,414.0,3312.0,1884,15072,793,6344,3091.0,52340.0,3091.0,23340.0,,,,,280.0,2676.0,1275.0,12177.0,537.0,5125.0,2092.0,47656.0,2092.0,18656.0,3.37,36.75
9,9,9.0,13000,117000,,,,,414.0,3726.0,1884,16956,793,7137,3091.0,55431.0,3091.0,26431.0,,,,,267.0,2943.0,1214.0,13391.0,511.0,5637.0,1993.0,49648.0,1993.0,20648.0,3.37,40.12
10,10,10.0,13000,130000,,,,,414.0,4141.0,1884,18840,793,7930,3091.0,58522.0,3091.0,29522.0,,,,,254.0,3197.0,1157.0,14548.0,487.0,6123.0,1898.0,51546.0,1898.0,22546.0,3.37,43.48
11,11,11.0,13000,143000,,,,,414.0,4555.0,1884,20724,793,8723,3091.0,61613.0,3091.0,32613.0,,,,,242.0,3439.0,1102.0,15649.0,464.0,6587.0,1807.0,53353.0,1807.0,24353.0,3.37,46.85
12,12,12.0,13000,156000,,,,,414.0,4969.0,1884,22608,793,9516,3091.0,64704.0,3091.0,35704.0,,,,,231.0,3670.0,1049.0,16698.0,442.0,7029.0,1721.0,55074.0,1721.0,26074.0,3.37,50.22
13,13,13.0,13000,169000,,,,,414.0,5383.0,1884,24492,793,10309,3091.0,67795.0,3091.0,38795.0,,,,,220.0,3889.0,999.0,17697.0,421.0,7449.0,1639.0,56713.0,1639.0,27713.0,3.37,53.58
post-use,13,14.3,0,169000,0,29000,0.0,-1389.0,0.0,5383.0,0,24492,0,10309,0.0,67795.0,0.0,38795.0,0,29000,0.0,-1323.0,0.0,3889.0,0.0,17697.0,0.0,7449.0,0.0,56713.0,0.0,27713.0,0.0,53.58
