period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,12500.0,12500,,,-7500,-7500,402.0,402.0,1884.0,1884.0,762.0,762.0,-4452.0,24548.0,-4452.0,-4452.0,,,-7143.0,-7143.0,383.0,383.0,1794.0,1794.0,726.0,726.0,-4240.0,24760.0,-4240.0,-4240.0,3.24,13.06
2,2.0,2.0,12500.0,25000,,,,,402.0,804.0,1884.0,3768.0,762.0,1525.0,3048.0,27597.0,3048.0,-1403.0,,,,,365.0,747.0,1709.0,3503.0,692.0,1418.0,2765.0,27525.0,2765.0,-1475.0,3.24,16.3
3,3.0,3.0,12500.0,37500,,,,,402.0,1206.0,1884.0,5652.0,762.0,2288.0,3048.0,30645.0,3048.0,1645.0,,,,,347.0,1094.0,1627.0,5131.0,659.0,2076.0,2633.0,30159.0,2633.0,1159.0,3.24,19.53
4,4.0,4.0,12500.0,50000,,,,,402.0,1608.0,1884.0,7536.0,762.0,3050.0,3048.0,33694.0,3048.0,4694.0,,,,,331.0,1425.0,1550.0,6681.0,627.0,2704.0,2508.0,32667.0,2508.0,3667.0,3.24,22.77
5,5.0,5.0,12500.0,62500,,,,,402.0,2010.0,1884.0,9420.0,762.0,3812.0,3048.0,36742.0,3048.0,7742.0,,,,,315.0,1740.0,1476.0,8157.0,597.0,3301.0,2389.0,35055.0,2389.0,6055.0,3.24,26.01
6,6.0,6.0,12500.0,75000,,,,,402.0,2411.0,1884.0,11304.0,762.0,4575.0,3048.0,39790.0,3048.0,10790.0,,,,,300.0,2040.0,1406.0,9563.0,569.0,3870.0,2275.0,37330.0,2275.0,8330.0,3.24,29.24
7,7.0,7.0,12500.0,87500,,,,,402.0,2813.0,1884.0,13188.0,762.0,5338.0,3048.0,42839.0,3048.0,13839.0,,,,,286.0,2326.0,1339.0,10902.0,542.0,4412.0,2166.0,39496.0,2166.0,10496.0,3.24,32.48
8,8.0,8.0,12500.0,100000,,,,,402.0,3215.0,1884.0,15072.0,762.0,6100.0,3048.0,45887.0,3048.0,16887.0,,,,,272.0,2598.0,1275.0,12177.0,516.0,4928.0,2063.0,41560.0,2063.0,12560.0,3.24,35.72
8.9,8.9,8.9,11250.000000000004,111250,,,,,362.0,3577.0,1696.0,16768.0,686.0,6786.0,2744.0,48631.0,2744.0,19631.0,,,,,234.0,2832.0,1098.0,13275.0,445.0,5373.0,1777.0,43337.0,1777.0,14337.0,2.91,38.63
post-use,8.9,9.790000000000001,0.0,111250,0,29000,0,-7500,0.0,3577.0,0.0,16768.0,0.0,6786.0,0.0,48631.0,0.0,19631.0,0,29000,0.0,-7143.0,0.0,2832.0,0.0,13275.0,0.0,5373.0,0.0,43337.0,0.0,14337.0,0.0,38.63
