period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,418.0,418.0,1884.0,1884.0,793.0,793.0,-4405.0,24595.0,-4405.0,-4405.0,,,-7143.0,-7143.0,398.0,398.0,1794.0,1794.0,755.0,755.0,-4195.0,24805.0,-4195.0,-4195.0,3.37,13.19
2,2.0,2.0,13000.0,26000,,,,,418.0,836.0,1884.0,3768.0,793.0,1586.0,3095.0,27690.0,3095.0,-1310.0,,,,,379.0,777.0,1709.0,3503.0,719.0,1475.0,2807.0,27612.0,2807.0,-1388.0,3.37,16.55
3,3.0,3.0,13000.0,39000,,,,,418.0,1254.0,1884.0,5652.0,793.0,2379.0,3095.0,30785.0,3095.0,1785.0,,,,,361.0,1138.0,1627.0,5131.0,685.0,2160.0,2674.0,30286.0,2674.0,1286.0,3.37,19.92
4,4.0,4.0,13000.0,52000,,,,,418.0,1672.0,1884.0,7536.0,793.0,3172.0,3095.0,33880.0,3095.0,4880.0,,,,,344.0,1482.0,1550.0,6681.0,652.0,2812.0,2546.0,32832.0,2546.0,3832.0,3.37,23.29
5,5.0,5.0,13000.0,65000,,,,,418.0,2090.0,1884.0,9420.0,793.0,3965.0,3095.0,36975.0,3095.0,7975.0,,,,,327.0,1810.0,1476.0,8157.0,621.0,3433.0,2425.0,35257.0,2425.0,6257.0,3.37,26.65
6,6.0,6.0,13000.0,78000,,,,,418.0,2508.0,1884.0,11304.0,793.0,4758.0,3095.0,40070.0,3095.0,11070.0,,,,,312.0,2122.0,1406.0,9563.0,592.0,4025.0,2310.0,37566.0,2310.0,8566.0,3.37,30.02
7,7.0,7.0,13000.0,91000,,,,,418.0,2926.0,1884.0,13188.0,793.0,5551.0,3095.0,43165.0,3095.0,14165.0,,,,,297.0,2419.0,1339.0,10902.0,564.0,4589.0,2200.0,39766.0,2200.0,10766.0,3.37,33.39
8,8.0,8.0,13000.0,104000,,,,,418.0,3344.0,1884.0,15072.0,793.0,6344.0,3095.0,46260.0,3095.0,17260.0,,,,,283.0,2702.0,1275.0,12177.0,537.0,5125.0,2095.0,41861.0,2095.0,12861.0,3.37,36.75
8.9,8.9,8.9,11700.000000000005,115700,,,,,376.0,3720.0,1696.0,16768.0,714.0,7058.0,2785.0,49045.0,2785.0,20045.0,,,,,244.0,2945.0,1098.0,13275.0,462.0,5588.0,1804.0,43665.0,1804.0,14665.0,3.03,39.78
post-use,8.9,9.790000000000001,0.0,115700,0,29000,0,-7500,0.0,3720.0,0.0,16768.0,0.0,7058.0,0.0,49045.0,0.0,20045.0,0,29000,0.0,-7143.0,0.0,2945.0,0.0,13275.0,0.0,5588.0,0.0,43665.0,0.0,14665.0,0.0,39.78
