period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0,0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,1229.0,1229.0,1884,1884,793,793,2518.0,62518.0,2518.0,2518.0,,,-1323.0,-1323.0,1171.0,1171.0,1794.0,1794.0,755.0,755.0,2398.0,62398.0,2398.0,2398.0,1.5,11.32
2,2,2.0,13000,26000,,,,,1229.0,2459.0,1884,3768,793,1586,3906.0,66424.0,3906.0,6424.0,,,,,1115.0,2286.0,1709.0,3503.0,719.0,1475.0,3543.0,65941.0,3543.0,5941.0,1.5,12.83
3,3,3.0,13000,39000,,,,,1229.0,3688.0,1884,5652,793,2379,3906.0,70330.0,3906.0,10330.0,,,,,1062.0,3348.0,1627.0,5131.0,685.0,2160.0,3374.0,69315.0,3374.0,9315.0,1.5,14.33
4,4,4.0,13000,52000,,,,,1229.0,4917.0,1884,7536,793,3172,3906.0,74236.0,3906.0,14236.0,,,,,1011.0,4359.0,1550.0,6681.0,652.0,2812.0,3214.0,72529.0,3214.0,12529.0,1.5,15.83
5,5,5.0,13000,65000,,,,,1229.0,6146.0,1884,9420,793,3965,3906.0,78143.0,3906.0,18143.0,,,,,963.0,5322.0,1476.0,8157.0,621.0,3433.0,3061.0,75590.0,3061.0,15590.0,1.5,17.33
6,6,6.0,13000,78000,,,,,1229.0,7376.0,1884,11304,793,4758,3906.0,82049.0,3906.0,22049.0,,,,,917.0,6239.0,1406.0,9563.0,592.0,4025.0,2915.0,78505.0,2915.0,18505.0,1.5,18.83
7,7,7.0,13000,91000,,,,,1229.0,8605.0,1884,13188,793,5551,3906.0,85955.0,3906.0,25955.0,,,,,874.0,7113.0,1339.0,10902.0,564.0,4589.0,2776.0,81281.0,2776.0,21281.0,1.5,20.33
8,8,8.0,13000,104000,,,,,1229.0,9834.0,1884,15072,793,6344,3906.0,89862.0,3906.0,29862.0,,,,,832.0,7945.0,1275.0,12177.0,537.0,5125.0,2644.0,83925.0,2644.0,23925.0,1.5,21.84
9,9,9.0,13000,117000,,,,,1229.0,11064.0,1884,16956,793,7137,3906.0,93768.0,3906.0,33768.0,,,,,792.0,8738.0,1214.0,13391.0,511.0,5637.0,2518.0,86443.0,2518.0,26443.0,1.5,23.34
10,10,10.0,13000,130000,,,,,1229.0,12293.0,1884,18840,793,7930,3906.0,97674.0,3906.0,37674.0,,,,,755.0,9492.0,1157.0,14548.0,487.0,6123.0,2398.0,88841.0,2398.0,28841.0,1.5,24.84
11,11,11.0,13000,143000,,,,,1229.0,13522.0,1884,20724,793,8723,3906.0,101580.0,3906.0,41580.0,,,,,719.0,10211.0,1102.0,15649.0,464.0,6587.0,2284.0,91125.0,2284.0,31125.0,1.5,26.34
12,12,12.0,13000,156000,,,,,1229.0,14751.0,1884,22608,793,9516,3906.0,105487.0,3906.0,45487.0,,,,,685.0,10895.0,1049.0,16698.0,442.0,7029.0,2175.0,93300.0,2175.0,33300.0,1.5,27.84
13,13,13.0,13000,169000,,,,,1229.0,15981.0,1884,24492,793,10309,3906.0,109393.0,3906.0,49393.0,,,,,652.0,11547.0,999.0,17697.0,421.0,7449.0,2072.0,95371.0,2072.0,35371.0,1.5,29.34
post-use,13,14.3,0,169000,0,60000,0.0,-1389.0,0.0,15981.0,0,24492,0,10309,0.0,109393.0,0.0,49393.0,0,60000,0.0,-1323.0,0.0,11547.0,0.0,17697.0,0.0,7449.0,0.0,95371.0,0.0,35371.0,0.0,29.34
