period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,1169.0,1169.0,1884.0,1884.0,702.0,702.0,-3745.0,56255.0,-3745.0,-3745.0,,,-7143.0,-7143.0,1114.0,1114.0,1794.0,1794.0,668.0,668.0,-3567.0,56433.0,-3567.0,-3567.0,1.33,11.15
2,2.0,2.0,11500.0,23000,,,,,1169.0,2339.0,1884.0,3768.0,702.0,1403.0,3755.0,60010.0,3755.0,10.0,,,,,1061.0,2174.0,1709.0,3503.0,636.0,1304.0,3406.0,59839.0,3406.0,-161.0,1.33,12.48
3,3.0,3.0,11500.0,34500,,,,,1169.0,3508.0,1884.0,5652.0,702.0,2104.0,3755.0,63765.0,3755.0,3765.0,,,,,1010.0,3185.0,1627.0,5131.0,606.0,1910.0,3244.0,63083.0,3244.0,3083.0,1.33,13.81
4,4.0,4.0,11500.0,46000,,,,,1169.0,4678.0,1884.0,7536.0,702.0,2806.0,3755.0,67520.0,3755.0,7520.0,,,,,962.0,4147.0,1550.0,6681.0,577.0,2487.0,3089.0,66172.0,3089.0,6172.0,1.33,15.14
5,5.0,5.0,11500.0,57500,,,,,1169.0,5847.0,1884.0,9420.0,702.0,3508.0,3755.0,71275.0,3755.0,11275.0,,,,,916.0,5063.0,1476.0,8157.0,550.0,3037.0,2942.0,69114.0,2942.0,9114.0,1.33,16.46
6,6.0,6.0,11500.0,69000,,,,,1169.0,7016.0,1884.0,11304.0,702.0,4209.0,3755.0,75029.0,3755.0,15029.0,,,,,873.0,5936.0,1406.0,9563.0,523.0,3561.0,2802.0,71916.0,2802.0,11916.0,1.33,17.79
7,7.0,7.0,11500.0,80500,,,,,1169.0,8186.0,1884.0,13188.0,702.0,4910.0,3755.0,78784.0,3755.0,18784.0,,,,,831.0,6767.0,1339.0,10902.0,499.0,4059.0,2669.0,74584.0,2669.0,14584.0,1.33,19.12
8,8.0,8.0,11500.0,92000,,,,,1169.0,9355.0,1884.0,15072.0,702.0,5612.0,3755.0,82539.0,3755.0,22539.0,,,,,792.0,7558.0,1275.0,12177.0,475.0,4534.0,2541.0,77126.0,2541.0,17126.0,1.33,20.45
8.9,8.9,8.9,10350.000000000004,102350,,,,,1052.0,10408.0,1696.0,16768.0,631.0,6243.0,3379.0,85919.0,3379.0,25919.0,,,,,682.0,8240.0,1098.0,13275.0,409.0,4943.0,2189.0,79315.0,2189.0,19315.0,1.2,21.64
post-use,8.9,9.790000000000001,0.0,102350,0,60000,0,-7500,0.0,10408.0,0.0,16768.0,0.0,6243.0,0.0,85919.0,0.0,25919.0,0,60000,0.0,-7143.0,0.0,8240.0,0.0,13275.0,0.0,4943.0,0.0,79315.0,0.0,19315.0,0.0,21.64
