period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0,0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,686.0,686.0,1884,1884,793,793,1975.0,61975.0,1975.0,1975.0,,,-1323.0,-1323.0,654.0,654.0,1794.0,1794.0,755.0,755.0,1881.0,61881.0,1881.0,1881.0,0.65,10.48
2,2,2.0,13000,26000,,,,,686.0,1372.0,1884,3768,793,1586,3363.0,65338.0,3363.0,5338.0,,,,,622.0,1276.0,1709.0,3503.0,719.0,1475.0,3051.0,64931.0,3051.0,4931.0,0.65,11.13
3,3,3.0,13000,39000,,,,,686.0,2059.0,1884,5652,793,2379,3363.0,68701.0,3363.0,8701.0,,,,,593.0,1869.0,1627.0,5131.0,685.0,2160.0,2905.0,67836.0,2905.0,7836.0,0.65,11.79
4,4,4.0,13000,52000,,,,,686.0,2745.0,1884,7536,793,3172,3363.0,72064.0,3363.0,12064.0,,,,,565.0,2433.0,1550.0,6681.0,652.0,2812.0,2767.0,70603.0,2767.0,10603.0,0.65,12.44
5,5,5.0,13000,65000,,,,,686.0,3431.0,1884,9420,793,3965,3363.0,75427.0,3363.0,15427.0,,,,,538.0,2971.0,1476.0,8157.0,621.0,3433.0,2635.0,73238.0,2635.0,13238.0,0.65,13.1
6,6,6.0,13000,78000,,,,,686.0,4117.0,1884,11304,793,4758,3363.0,78791.0,3363.0,18791.0,,,,,512.0,3483.0,1406.0,9563.0,592.0,4025.0,2510.0,75748.0,2510.0,15748.0,0.65,13.75
7,7,7.0,13000,91000,,,,,686.0,4803.0,1884,13188,793,5551,3363.0,82154.0,3363.0,22154.0,,,,,488.0,3971.0,1339.0,10902.0,564.0,4589.0,2390.0,78138.0,2390.0,18138.0,0.65,14.41
8,8,8.0,13000,104000,,,,,686.0,5490.0,1884,15072,793,6344,3363.0,85517.0,3363.0,25517.0,,,,,464.0,4435.0,1275.0,12177.0,537.0,5125.0,2276.0,80415.0,2276.0,20415.0,0.65,15.06
9,9,9.0,13000,117000,,,,,686.0,6176.0,1884,16956,793,7137,3363.0,88880.0,3363.0,28880.0,,,,,442.0,4877.0,1214.0,13391.0,511.0,5637.0,2168.0,82583.0,2168.0,22583.0,0.65,15.72
10,10,10.0,13000,130000,,,,,686.0,6862.0,1884,18840,793,7930,3363.0,92243.0,3363.0,32243.0,,,,,421.0,5299.0,1157.0,14548.0,487.0,6123.0,2065.0,84647.0,2065.0,24647.0,0.65,16.37
11,11,11.0,13000,143000,,,,,686.0,7548.0,1884,20724,793,8723,3363.0,95607.0,3363.0,35607.0,,,,,401.0,5700.0,1102.0,15649.0,464.0,6587.0,1966.0,86614.0,1966.0,26614.0,0.65,17.03
12,12,12.0,13000,156000,,,,,686.0,8235.0,1884,22608,793,9516,3363.0,98970.0,3363.0,38970.0,,,,,382.0,6082.0,1049.0,16698.0,442.0,7029.0,1873.0,88486.0,1873.0,28486.0,0.65,17.68
13,13,13.0,13000,169000,,,,,686.0,8921.0,1884,24492,793,10309,3363.0,102333.0,3363.0,42333.0,,,,,364.0,6446.0,999.0,17697.0,421.0,7449.0,1784.0,90270.0,1784.0,30270.0,0.65,18.34
post-use,13,14.3,0,169000,0,60000,0.0,-1389.0,0.0,8921.0,0,24492,0,10309,0.0,102333.0,0.0,42333.0,0,60000,0.0,-1323.0,0.0,6446.0,0.0,17697.0,0.0,7449.0,0.0,90270.0,0.0,30270.0,0.0,18.34
