period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,607.0,607.0,1884.0,1884.0,702.0,702.0,-4307.0,55693.0,-4307.0,-4307.0,,,-7143.0,-7143.0,578.0,578.0,1794.0,1794.0,668.0,668.0,-4102.0,55898.0,-4102.0,-4102.0,0.58,10.4
2,2.0,2.0,11500.0,23000,,,,,607.0,1214.0,1884.0,3768.0,702.0,1403.0,3193.0,58885.0,3193.0,-1115.0,,,,,551.0,1129.0,1709.0,3503.0,636.0,1304.0,2896.0,58793.0,2896.0,-1207.0,0.58,10.98
3,3.0,3.0,11500.0,34500,,,,,607.0,1821.0,1884.0,5652.0,702.0,2104.0,3193.0,62078.0,3193.0,2078.0,,,,,524.0,1653.0,1627.0,5131.0,606.0,1910.0,2758.0,61551.0,2758.0,1551.0,0.58,11.56
4,4.0,4.0,11500.0,46000,,,,,607.0,2428.0,1884.0,7536.0,702.0,2806.0,3193.0,65270.0,3193.0,5270.0,,,,,499.0,2153.0,1550.0,6681.0,577.0,2487.0,2627.0,64178.0,2627.0,4178.0,0.58,12.14
5,5.0,5.0,11500.0,57500,,,,,607.0,3035.0,1884.0,9420.0,702.0,3508.0,3193.0,68463.0,3193.0,8463.0,,,,,476.0,2628.0,1476.0,8157.0,550.0,3037.0,2501.0,66679.0,2501.0,6679.0,0.58,12.72
6,6.0,6.0,11500.0,69000,,,,,607.0,3642.0,1884.0,11304.0,702.0,4209.0,3193.0,71655.0,3193.0,11655.0,,,,,453.0,3081.0,1406.0,9563.0,523.0,3561.0,2382.0,69061.0,2382.0,9061.0,0.58,13.3
7,7.0,7.0,11500.0,80500,,,,,607.0,4249.0,1884.0,13188.0,702.0,4910.0,3193.0,74848.0,3193.0,14848.0,,,,,431.0,3513.0,1339.0,10902.0,499.0,4059.0,2269.0,71330.0,2269.0,11330.0,0.58,13.88
8,8.0,8.0,11500.0,92000,,,,,607.0,4856.0,1884.0,15072.0,702.0,5612.0,3193.0,78040.0,3193.0,18040.0,,,,,411.0,3923.0,1275.0,12177.0,475.0,4534.0,2161.0,73491.0,2161.0,13491.0,0.58,14.46
8.9,8.9,8.9,10350.000000000004,102350,,,,,546.0,5403.0,1696.0,16768.0,631.0,6243.0,2873.0,80914.0,2873.0,20914.0,,,,,354.0,4277.0,1098.0,13275.0,409.0,4943.0,1861.0,75352.0,1861.0,15352.0,0.52,14.98
post-use,8.9,9.790000000000001,0.0,102350,0,60000,0,-7500,0.0,5403.0,0.0,16768.0,0.0,6243.0,0.0,80914.0,0.0,20914.0,0,60000,0.0,-7143.0,0.0,4277.0,0.0,13275.0,0.0,4943.0,0.0,75352.0,0.0,15352.0,0.0,14.98
