period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,12500.0,12500,,,-7500,-7500,682.0,682.0,1884.0,1884.0,762.0,762.0,-4171.0,55829.0,-4171.0,-4171.0,,,-7143.0,-7143.0,650.0,650.0,1794.0,1794.0,726.0,726.0,-3972.0,56028.0,-3972.0,-3972.0,0.63,10.45
2,2.0,2.0,12500.0,25000,,,,,682.0,1365.0,1884.0,3768.0,762.0,1525.0,3329.0,59158.0,3329.0,-842.0,,,,,619.0,1269.0,1709.0,3503.0,692.0,1418.0,3020.0,59047.0,3020.0,-953.0,0.63,11.08
3,3.0,3.0,12500.0,37500,,,,,682.0,2048.0,1884.0,5652.0,762.0,2288.0,3329.0,62487.0,3329.0,2487.0,,,,,590.0,1859.0,1627.0,5131.0,659.0,2076.0,2876.0,61923.0,2876.0,1923.0,0.63,11.71
4,4.0,4.0,12500.0,50000,,,,,682.0,2730.0,1884.0,7536.0,762.0,3050.0,3329.0,65816.0,3329.0,5816.0,,,,,561.0,2420.0,1550.0,6681.0,627.0,2704.0,2739.0,64662.0,2739.0,4662.0,0.63,12.34
5,5.0,5.0,12500.0,62500,,,,,682.0,3412.0,1884.0,9420.0,762.0,3812.0,3329.0,69145.0,3329.0,9145.0,,,,,535.0,2955.0,1476.0,8157.0,597.0,3301.0,2608.0,67270.0,2608.0,7270.0,0.63,12.97
6,6.0,6.0,12500.0,75000,,,,,682.0,4095.0,1884.0,11304.0,762.0,4575.0,3329.0,72474.0,3329.0,12474.0,,,,,509.0,3464.0,1406.0,9563.0,569.0,3870.0,2484.0,69754.0,2484.0,9754.0,0.63,13.6
7,7.0,7.0,12500.0,87500,,,,,682.0,4778.0,1884.0,13188.0,762.0,5338.0,3329.0,75803.0,3329.0,15803.0,,,,,485.0,3949.0,1339.0,10902.0,542.0,4412.0,2366.0,72120.0,2366.0,12120.0,0.63,14.23
8,8.0,8.0,12500.0,100000,,,,,682.0,5460.0,1884.0,15072.0,762.0,6100.0,3329.0,79132.0,3329.0,19132.0,,,,,462.0,4411.0,1275.0,12177.0,516.0,4928.0,2253.0,74373.0,2253.0,14373.0,0.63,14.86
8.9,8.9,8.9,11250.000000000004,111250,,,,,614.0,6074.0,1696.0,16768.0,686.0,6786.0,2996.0,82128.0,2996.0,22128.0,,,,,398.0,4809.0,1098.0,13275.0,445.0,5373.0,1941.0,76314.0,1941.0,16314.0,0.57,15.43
post-use,8.9,9.790000000000001,0.0,111250,0,60000,0,-7500,0.0,6074.0,0.0,16768.0,0.0,6786.0,0.0,82128.0,0.0,22128.0,0,60000,0.0,-7143.0,0.0,4809.0,0.0,13275.0,0.0,5373.0,0.0,76314.0,0.0,16314.0,0.0,15.43
