period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000,13000,,,-4153,-4153,717.0,717.0,1884,1884,793.0,793.0,-759.0,59241.0,-759.0,-759.0,,,-3955.0,-3955.0,682.0,682.0,1794.0,1794.0,755.0,755.0,-723.0,59277.0,-723.0,-723.0,5.77,15.59
2,2.0,2.0,13000,26000,,,,,717.0,1433.0,1884,3768,793.0,1586.0,3394.0,62634.0,3394.0,2634.0,,,,,650.0,1332.0,1709.0,3503.0,719.0,1475.0,3078.0,62355.0,3078.0,2355.0,5.77,21.36
3,3.0,3.0,13000,39000,,,,,717.0,2150.0,1884,5652,793.0,2379.0,3394.0,66028.0,3394.0,6028.0,,,,,619.0,1951.0,1627.0,5131.0,685.0,2160.0,2931.0,65286.0,2931.0,5286.0,5.77,27.13
4,4.0,4.0,13000,52000,,,,,717.0,2866.0,1884,7536,793.0,3172.0,3394.0,69421.0,3394.0,9421.0,,,,,589.0,2541.0,1550.0,6681.0,652.0,2812.0,2792.0,68078.0,2792.0,8078.0,5.77,32.9
5,5.0,5.0,13000,65000,,,,,717.0,3583.0,1884,9420,793.0,3965.0,3394.0,72815.0,3394.0,12815.0,,,,,561.0,3102.0,1476.0,8157.0,621.0,3433.0,2659.0,70737.0,2659.0,10737.0,5.77,38.67
6,6.0,6.0,13000,78000,,,,,717.0,4299.0,1884,11304,793.0,4758.0,3394.0,76208.0,3394.0,16208.0,,,,,535.0,3637.0,1406.0,9563.0,592.0,4025.0,2532.0,73269.0,2532.0,13269.0,5.77,44.45
7,7.0,7.0,13000,91000,,,,,717.0,5016.0,1884,13188,793.0,5551.0,3394.0,79602.0,3394.0,19602.0,,,,,509.0,4146.0,1339.0,10902.0,564.0,4589.0,2412.0,75681.0,2412.0,15681.0,5.77,50.22
8,8.0,8.0,13000,104000,,,,,717.0,5732.0,1884,15072,793.0,6344.0,3394.0,82995.0,3394.0,22995.0,,,,,485.0,4631.0,1275.0,12177.0,537.0,5125.0,2297.0,77978.0,2297.0,17978.0,5.77,55.99
9,9.0,9.0,13000,117000,,,,,717.0,6449.0,1884,16956,793.0,7137.0,3394.0,86389.0,3394.0,26389.0,,,,,462.0,5093.0,1214.0,13391.0,511.0,5637.0,2188.0,80165.0,2188.0,20165.0,5.77,61.76
10,10.0,10.0,13000,130000,,,,,717.0,7165.0,1884,18840,793.0,7930.0,3394.0,89782.0,3394.0,29782.0,,,,,440.0,5533.0,1157.0,14548.0,487.0,6123.0,2083.0,82249.0,2083.0,22249.0,5.77,67.53
11,11.0,11.0,13000,143000,,,,,717.0,7882.0,1884,20724,793.0,8723.0,3394.0,93176.0,3394.0,33176.0,,,,,419.0,5952.0,1102.0,15649.0,464.0,6587.0,1984.0,84233.0,1984.0,24233.0,5.77,73.3
11.5,11.5,11.5,6500,149500,,,,,358.0,8240.0,942,21666,396.0,9120.0,1697.0,94873.0,1697.0,34873.0,,,,,204.0,6156.0,537.0,16187.0,226.0,6813.0,968.0,85201.0,968.0,25201.0,2.89,76.18
post-use,11.5,12.65,0,149500,0,60000,0,-4153,0.0,8240.0,0,21666,0.0,9120.0,0.0,94873.0,0.0,34873.0,0,60000,0.0,-3955.0,0.0,6156.0,0.0,16187.0,0.0,6813.0,0.0,85201.0,0.0,25201.0,0.0,76.18
