period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,60000,60000,,,0.0,0.0,0,0,0,0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,717.0,717.0,1884,1884,793,793,2005.0,62005.0,2005.0,2005.0,,,-1323.0,-1323.0,682.0,682.0,1794.0,1794.0,755.0,755.0,1909.0,61909.0,1909.0,1909.0,5.77,15.59
2,2,2.0,13000,26000,,,,,717.0,1433.0,1884,3768,793,1586,3394.0,65398.0,3394.0,5398.0,,,,,650.0,1332.0,1709.0,3503.0,719.0,1475.0,3078.0,64987.0,3078.0,4987.0,5.77,21.36
3,3,3.0,13000,39000,,,,,717.0,2150.0,1884,5652,793,2379,3394.0,68792.0,3394.0,8792.0,,,,,619.0,1951.0,1627.0,5131.0,685.0,2160.0,2931.0,67919.0,2931.0,7919.0,5.77,27.13
4,4,4.0,13000,52000,,,,,717.0,2866.0,1884,7536,793,3172,3394.0,72185.0,3394.0,12185.0,,,,,589.0,2541.0,1550.0,6681.0,652.0,2812.0,2792.0,70711.0,2792.0,10711.0,5.77,32.9
5,5,5.0,13000,65000,,,,,717.0,3583.0,1884,9420,793,3965,3394.0,75579.0,3394.0,15579.0,,,,,561.0,3102.0,1476.0,8157.0,621.0,3433.0,2659.0,73370.0,2659.0,13370.0,5.77,38.67
6,6,6.0,13000,78000,,,,,717.0,4299.0,1884,11304,793,4758,3394.0,78973.0,3394.0,18973.0,,,,,535.0,3637.0,1406.0,9563.0,592.0,4025.0,2532.0,75902.0,2532.0,15902.0,5.77,44.45
7,7,7.0,13000,91000,,,,,717.0,5016.0,1884,13188,793,5551,3394.0,82366.0,3394.0,22366.0,,,,,509.0,4146.0,1339.0,10902.0,564.0,4589.0,2412.0,78314.0,2412.0,18314.0,5.77,50.22
8,8,8.0,13000,104000,,,,,717.0,5732.0,1884,15072,793,6344,3394.0,85760.0,3394.0,25760.0,,,,,485.0,4631.0,1275.0,12177.0,537.0,5125.0,2297.0,80611.0,2297.0,20611.0,5.77,55.99
9,9,9.0,13000,117000,,,,,717.0,6449.0,1884,16956,793,7137,3394.0,89153.0,3394.0,29153.0,,,,,462.0,5093.0,1214.0,13391.0,511.0,5637.0,2188.0,82798.0,2188.0,22798.0,5.77,61.76
10,10,10.0,13000,130000,,,,,717.0,7165.0,1884,18840,793,7930,3394.0,92547.0,3394.0,32547.0,,,,,440.0,5533.0,1157.0,14548.0,487.0,6123.0,2083.0,84881.0,2083.0,24881.0,5.77,67.53
11,11,11.0,13000,143000,,,,,717.0,7882.0,1884,20724,793,8723,3394.0,95940.0,3394.0,35940.0,,,,,419.0,5952.0,1102.0,15649.0,464.0,6587.0,1984.0,86866.0,1984.0,26866.0,5.77,73.3
12,12,12.0,13000,156000,,,,,717.0,8598.0,1884,22608,793,9516,3394.0,99334.0,3394.0,39334.0,,,,,399.0,6351.0,1049.0,16698.0,442.0,7029.0,1890.0,88755.0,1890.0,28755.0,5.77,79.07
13,13,13.0,13000,169000,,,,,717.0,9315.0,1884,24492,793,10309,3394.0,102727.0,3394.0,42727.0,,,,,380.0,6731.0,999.0,17697.0,421.0,7449.0,1800.0,90555.0,1800.0,30555.0,5.77,84.84
post-use,13,14.3,0,169000,0,60000,0.0,-1389.0,0.0,9315.0,0,24492,0,10309,0.0,102727.0,0.0,42727.0,0,60000,0.0,-1323.0,0.0,6731.0,0.0,17697.0,0.0,7449.0,0.0,90555.0,0.0,30555.0,0.0,84.84
