period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,50106,50106,,,0.0,0.0,0,0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,2733.0,2733.0,1788,1788,1338.0,1338.0,5860.0,55966.0,5860.0,5860.0,,,,,2603.0,2603.0,1703.0,1703.0,1275.0,1275.0,5581.0,55687.0,5581.0,5581.0,4.45,9.92
2,2,2.0,13250,26500,,,,,2733.0,5467.0,1788,3576,1338.0,2676.0,5860.0,61825.0,5860.0,11719.0,,,,,2479.0,5082.0,1622.0,3325.0,1214.0,2488.0,5315.0,61001.0,5315.0,10895.0,4.45,14.38
3,3,3.0,13250,39750,,,,,2733.0,8200.0,1788,5364,1338.0,4015.0,5860.0,67685.0,5860.0,17579.0,,,,,2361.0,7443.0,1545.0,4869.0,1156.0,3644.0,5062.0,66063.0,5062.0,15957.0,4.45,18.83
4,4,4.0,13250,53000,,,,,2733.0,10933.0,1788,7152,1338.0,5353.0,5860.0,73544.0,5860.0,23438.0,,,,,2249.0,9692.0,1471.0,6340.0,1101.0,4745.0,4821.0,70884.0,4821.0,20778.0,4.45,23.29
5,5,5.0,13250,66250,,,,,2733.0,13667.0,1788,8940,1338.0,6691.0,5860.0,79404.0,5860.0,29298.0,,,,,2142.0,11834.0,1401.0,7741.0,1049.0,5794.0,4591.0,75475.0,4591.0,25369.0,4.45,27.74
6,6,6.0,13250,79500,,,,,2733.0,16400.0,1788,10728,1338.0,8030.0,5860.0,85263.0,5860.0,35157.0,,,,,2040.0,13873.0,1334.0,9075.0,999.0,6793.0,4372.0,79847.0,4372.0,29741.0,4.45,32.2
7,7,7.0,13250,92750,,,,,2733.0,19133.0,1788,12516,1338.0,9368.0,5860.0,91123.0,5860.0,41017.0,,,,,1943.0,15816.0,1271.0,10346.0,951.0,7744.0,4164.0,84012.0,4164.0,33906.0,4.45,36.65
8,8,8.0,13250,106000,,,,,2733.0,21866.0,1788,14304,1338.0,10706.0,5860.0,96982.0,5860.0,46876.0,,,,,1850.0,17666.0,1210.0,11556.0,906.0,8649.0,3966.0,87978.0,3966.0,37872.0,4.45,41.1
9,9,9.0,13250,119250,,,,,2733.0,24600.0,1788,16092,1338.0,12044.0,5860.0,102842.0,5860.0,52736.0,,,,,1762.0,19428.0,1153.0,12709.0,863.0,9512.0,3777.0,91755.0,3777.0,41649.0,4.45,45.56
10,10,10.0,13250,132500,,,,,2733.0,27333.0,1788,17880,1338.0,13382.0,5860.0,108702.0,5860.0,58596.0,,,,,1678.0,21106.0,1098.0,13806.0,822.0,10334.0,3597.0,95352.0,3597.0,45246.0,4.45,50.01
11,11,11.0,13250,145750,,,,,2733.0,30066.0,1788,19668,1338.0,14721.0,5860.0,114561.0,5860.0,64455.0,,,,,1598.0,22704.0,1045.0,14852.0,782.0,11116.0,3426.0,98778.0,3426.0,48672.0,4.45,54.47
12,12,12.0,13250,159000,,,,,2733.0,32800.0,1788,21456,1338.0,16059.0,5860.0,120421.0,5860.0,70315.0,,,,,1522.0,24226.0,996.0,15847.0,745.0,11861.0,3263.0,102041.0,3263.0,51935.0,4.45,58.92
13,13,13.0,13250,172250,,,,,2733.0,35533.0,1788,23244,1338.0,17397.0,5860.0,126280.0,5860.0,76174.0,,,,,1450.0,25676.0,948.0,16796.0,710.0,12571.0,3107.0,105148.0,3107.0,55042.0,4.45,63.37
post-use,13,14.3,0,172250,0,50106,0,0,0.0,35533.0,0,23244,0.0,17397.0,0.0,126280.0,0.0,76174.0,0,50106,0,0,0.0,25676.0,0.0,16796.0,0.0,12571.0,0.0,105148.0,0.0,55042.0,0.0,63.37
