period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,50106,50106,,,0.0,0.0,0,0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1932.0,1932.0,1788,1788,1439.0,1439.0,5159.0,55265.0,5159.0,5159.0,,,,,1876.0,1876.0,1736.0,1736.0,1397.0,1397.0,5009.0,55115.0,5009.0,5009.0,4.79,10.26
2,2.0,2.0,14250,28500,,,,,1932.0,3864.0,1788,3576,1439.0,2878.0,5159.0,60424.0,5159.0,10318.0,,,,,1821.0,3697.0,1685.0,3421.0,1357.0,2754.0,4863.0,59978.0,4863.0,9872.0,4.79,15.05
3,3.0,3.0,14250,42750,,,,,1932.0,5796.0,1788,5364,1439.0,4318.0,5159.0,65584.0,5159.0,15478.0,,,,,1768.0,5465.0,1636.0,5058.0,1317.0,4071.0,4721.0,64700.0,4721.0,14594.0,4.79,19.84
4,4.0,4.0,14250,57000,,,,,1932.0,7728.0,1788,7152,1439.0,5757.0,5159.0,70743.0,5159.0,20637.0,,,,,1717.0,7181.0,1589.0,6646.0,1279.0,5350.0,4584.0,69283.0,4584.0,19177.0,4.79,24.63
5,5.0,5.0,14250,71250,,,,,1932.0,9660.0,1788,8940,1439.0,7196.0,5159.0,75902.0,5159.0,25796.0,,,,,1667.0,8848.0,1542.0,8189.0,1242.0,6591.0,4450.0,73734.0,4450.0,23628.0,4.79,29.42
6,6.0,6.0,14250,85500,,,,,1932.0,11592.0,1788,10728,1439.0,8636.0,5159.0,81061.0,5159.0,30955.0,,,,,1618.0,10466.0,1497.0,9686.0,1205.0,7797.0,4321.0,78055.0,4321.0,27949.0,4.79,34.21
7,7.0,7.0,14250,99750,,,,,1932.0,13524.0,1788,12516,1439.0,10075.0,5159.0,86221.0,5159.0,36115.0,,,,,1571.0,12037.0,1454.0,11140.0,1170.0,8967.0,4195.0,82250.0,4195.0,32144.0,4.79,39.0
8,8.0,8.0,14250,114000,,,,,1932.0,15456.0,1788,14304,1439.0,11514.0,5159.0,91380.0,5159.0,41274.0,,,,,1525.0,13562.0,1411.0,12551.0,1136.0,10103.0,4073.0,86322.0,4073.0,36216.0,4.79,43.79
9,9.0,9.0,14250,128250,,,,,1932.0,17388.0,1788,16092,1439.0,12953.0,5159.0,96539.0,5159.0,46433.0,,,,,1481.0,15043.0,1370.0,13922.0,1103.0,11206.0,3954.0,90276.0,3954.0,40170.0,4.79,48.58
10,10.0,10.0,14250,142500,,,,,1932.0,19320.0,1788,17880,1439.0,14392.0,5159.0,101698.0,5159.0,51592.0,,,,,1438.0,16480.0,1330.0,15252.0,1071.0,12277.0,3839.0,94115.0,3839.0,44009.0,4.79,53.37
11,11.0,11.0,14250,156750,,,,,1932.0,21252.0,1788,19668,1439.0,15832.0,5159.0,106858.0,5159.0,56752.0,,,,,1396.0,17876.0,1292.0,16544.0,1040.0,13317.0,3727.0,97843.0,3727.0,47737.0,4.79,58.16
11.5,11.5,11.5,7125,163875,,,,,966.0,22218.0,894,20562,720.0,16551.0,2580.0,109437.0,2580.0,59331.0,,,,,688.0,18564.0,636.0,17180.0,512.0,13829.0,1836.0,99679.0,1836.0,49573.0,2.4,60.56
post-use,11.5,12.65,0,163875,0,50106,0,0,0.0,22218.0,0,20562,0.0,16551.0,0.0,109437.0,0.0,59331.0,0,50106,0,0,0.0,18564.0,0.0,17180.0,0.0,13829.0,0.0,99679.0,0.0,49573.0,0.0,60.56
