period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,50106,50106,,,0.0,0.0,0,0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1686.0,1686.0,1788,1788,1439.0,1439.0,4913.0,55019.0,4913.0,4913.0,,,,,1605.0,1605.0,1703.0,1703.0,1371.0,1371.0,4679.0,54785.0,4679.0,4679.0,4.79,10.26
2,2.0,2.0,14250,28500,,,,,1686.0,3371.0,1788,3576,1439.0,2878.0,4913.0,59932.0,4913.0,9826.0,,,,,1529.0,3134.0,1622.0,3325.0,1305.0,2676.0,4456.0,59241.0,4456.0,9135.0,4.79,15.05
3,3.0,3.0,14250,42750,,,,,1686.0,5057.0,1788,5364,1439.0,4318.0,4913.0,64845.0,4913.0,14739.0,,,,,1456.0,4591.0,1545.0,4869.0,1243.0,3919.0,4244.0,63485.0,4244.0,13379.0,4.79,19.84
4,4.0,4.0,14250,57000,,,,,1686.0,6743.0,1788,7152,1439.0,5757.0,4913.0,69758.0,4913.0,19652.0,,,,,1387.0,5977.0,1471.0,6340.0,1184.0,5104.0,4042.0,67527.0,4042.0,17421.0,4.79,24.63
5,5.0,5.0,14250,71250,,,,,1686.0,8428.0,1788,8940,1439.0,7196.0,4913.0,74671.0,4913.0,24565.0,,,,,1321.0,7298.0,1401.0,7741.0,1128.0,6231.0,3849.0,71376.0,3849.0,21270.0,4.79,29.42
6,6.0,6.0,14250,85500,,,,,1686.0,10114.0,1788,10728,1439.0,8636.0,4913.0,79584.0,4913.0,29478.0,,,,,1258.0,8556.0,1334.0,9075.0,1074.0,7305.0,3666.0,75042.0,3666.0,24936.0,4.79,34.21
7,7.0,7.0,14250,99750,,,,,1686.0,11800.0,1788,12516,1439.0,10075.0,4913.0,84496.0,4913.0,34390.0,,,,,1198.0,9754.0,1271.0,10346.0,1023.0,8328.0,3492.0,78534.0,3492.0,28428.0,4.79,39.0
8,8.0,8.0,14250,114000,,,,,1686.0,13485.0,1788,14304,1439.0,11514.0,4913.0,89409.0,4913.0,39303.0,,,,,1141.0,10895.0,1210.0,11556.0,974.0,9302.0,3325.0,81859.0,3325.0,31753.0,4.79,43.79
9,9.0,9.0,14250,128250,,,,,1686.0,15171.0,1788,16092,1439.0,12953.0,4913.0,94322.0,4913.0,44216.0,,,,,1087.0,11981.0,1153.0,12709.0,928.0,10230.0,3167.0,85026.0,3167.0,34920.0,4.79,48.58
10,10.0,10.0,14250,142500,,,,,1686.0,16857.0,1788,17880,1439.0,14392.0,4913.0,99235.0,4913.0,49129.0,,,,,1035.0,13016.0,1098.0,13806.0,884.0,11114.0,3016.0,88042.0,3016.0,37936.0,4.79,53.37
11,11.0,11.0,14250,156750,,,,,1686.0,18542.0,1788,19668,1439.0,15832.0,4913.0,104148.0,4913.0,54042.0,,,,,986.0,14002.0,1045.0,14852.0,841.0,11955.0,2872.0,90915.0,2872.0,40809.0,4.79,58.16
11.5,11.5,11.5,7125,163875,,,,,843.0,19385.0,894,20562,720.0,16551.0,2456.0,106605.0,2456.0,56499.0,,,,,481.0,14483.0,510.0,15362.0,411.0,12366.0,1402.0,92316.0,1402.0,42210.0,2.4,60.56
post-use,11.5,12.65,0,163875,0,50106,0,0,0.0,19385.0,0,20562,0.0,16551.0,0.0,106605.0,0.0,56499.0,0,50106,0,0,0.0,14483.0,0.0,15362.0,0.0,12366.0,0.0,92316.0,0.0,42210.0,0.0,60.56
