period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,50106,50106,,,0.0,0.0,0,0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,2207.0,2207.0,1788,1788,1439.0,1439.0,5434.0,55540.0,5434.0,5434.0,,,,,2063.0,2063.0,1671.0,1671.0,1345.0,1345.0,5079.0,55185.0,5079.0,5079.0,4.79,10.26
2,2.0,2.0,14250,28500,,,,,2207.0,4414.0,1788,3576,1439.0,2878.0,5434.0,60975.0,5434.0,10869.0,,,,,1928.0,3991.0,1562.0,3233.0,1257.0,2602.0,4747.0,59931.0,4747.0,9825.0,4.79,15.05
3,3.0,3.0,14250,42750,,,,,2207.0,6621.0,1788,5364,1439.0,4318.0,5434.0,66409.0,5434.0,16303.0,,,,,1802.0,5792.0,1460.0,4692.0,1175.0,3777.0,4436.0,64368.0,4436.0,14262.0,4.79,19.84
4,4.0,4.0,14250,57000,,,,,2207.0,8829.0,1788,7152,1439.0,5757.0,5434.0,71844.0,5434.0,21738.0,,,,,1684.0,7476.0,1364.0,6056.0,1098.0,4875.0,4146.0,68513.0,4146.0,18407.0,4.79,24.63
5,5.0,5.0,14250,71250,,,,,2207.0,11036.0,1788,8940,1439.0,7196.0,5434.0,77278.0,5434.0,27172.0,,,,,1574.0,9050.0,1275.0,7331.0,1026.0,5901.0,3875.0,72388.0,3875.0,22282.0,4.79,29.42
6,6.0,6.0,14250,85500,,,,,2207.0,13243.0,1788,10728,1439.0,8636.0,5434.0,82712.0,5434.0,32606.0,,,,,1471.0,10520.0,1191.0,8523.0,959.0,6860.0,3621.0,76009.0,3621.0,25903.0,4.79,34.21
7,7.0,7.0,14250,99750,,,,,2207.0,15450.0,1788,12516,1439.0,10075.0,5434.0,88147.0,5434.0,38041.0,,,,,1374.0,11895.0,1113.0,9636.0,896.0,7757.0,3384.0,79394.0,3384.0,29288.0,4.79,39.0
8,8.0,8.0,14250,114000,,,,,2207.0,17657.0,1788,14304,1439.0,11514.0,5434.0,93581.0,5434.0,43475.0,,,,,1285.0,13180.0,1041.0,10677.0,838.0,8594.0,3163.0,82556.0,3163.0,32450.0,4.79,43.79
9,9.0,9.0,14250,128250,,,,,2207.0,19864.0,1788,16092,1439.0,12953.0,5434.0,99016.0,5434.0,48910.0,,,,,1201.0,14380.0,973.0,11649.0,783.0,9377.0,2956.0,85512.0,2956.0,35406.0,4.79,48.58
10,10.0,10.0,14250,142500,,,,,2207.0,22071.0,1788,17880,1439.0,14392.0,5434.0,104450.0,5434.0,54344.0,,,,,1122.0,15502.0,909.0,12558.0,732.0,10109.0,2763.0,88275.0,2763.0,38169.0,4.79,53.37
11,11.0,11.0,14250,156750,,,,,2207.0,24279.0,1788,19668,1439.0,15832.0,5434.0,109884.0,5434.0,59778.0,,,,,1049.0,16551.0,849.0,13408.0,684.0,10792.0,2582.0,90857.0,2582.0,40751.0,4.79,58.16
11.5,11.5,11.5,7125,163875,,,,,1104.0,25382.0,894,20562,720.0,16551.0,2717.0,112602.0,2717.0,62496.0,,,,,507.0,17058.0,411.0,13818.0,331.0,11123.0,1248.0,92105.0,1248.0,41999.0,2.4,60.56
post-use,11.5,12.65,0,163875,0,50106,0,0,0.0,25382.0,0,20562,0.0,16551.0,0.0,112602.0,0.0,62496.0,0,50106,0,0,0.0,17058.0,0.0,13818.0,0.0,11123.0,0.0,92105.0,0.0,41999.0,0.0,60.56
