period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,50106,50106,,,0.0,0.0,0,0,0,0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1,1.0,13000,13000,,,,,2014.0,2014.0,1788,1788,1313,1313,5115.0,55221.0,5115.0,5115.0,,,,,1918.0,1918.0,1703.0,1703.0,1250.0,1250.0,4871.0,54977.0,4871.0,4871.0,4.37,9.84
2,2,2.0,13000,26000,,,,,2014.0,4027.0,1788,3576,1313,2626,5115.0,60335.0,5115.0,10229.0,,,,,1826.0,3744.0,1622.0,3325.0,1191.0,2441.0,4639.0,59616.0,4639.0,9510.0,4.37,14.21
3,3,3.0,13000,39000,,,,,2014.0,6041.0,1788,5364,1313,3939,5115.0,65450.0,5115.0,15344.0,,,,,1739.0,5483.0,1545.0,4869.0,1134.0,3576.0,4418.0,64034.0,4418.0,13928.0,4.37,18.58
4,4,4.0,13000,52000,,,,,2014.0,8054.0,1788,7152,1313,5252,5115.0,70564.0,5115.0,20458.0,,,,,1657.0,7140.0,1471.0,6340.0,1080.0,4656.0,4208.0,68242.0,4208.0,18136.0,4.37,22.95
5,5,5.0,13000,65000,,,,,2014.0,10068.0,1788,8940,1313,6565,5115.0,75679.0,5115.0,25573.0,,,,,1578.0,8718.0,1401.0,7741.0,1029.0,5685.0,4007.0,72249.0,4007.0,22143.0,4.37,27.32
6,6,6.0,13000,78000,,,,,2014.0,12081.0,1788,10728,1313,7878,5115.0,80793.0,5115.0,30687.0,,,,,1503.0,10220.0,1334.0,9075.0,980.0,6664.0,3817.0,76066.0,3817.0,25960.0,4.37,31.69
7,7,7.0,13000,91000,,,,,2014.0,14095.0,1788,12516,1313,9191,5115.0,85908.0,5115.0,35802.0,,,,,1431.0,11651.0,1271.0,10346.0,933.0,7598.0,3635.0,79701.0,3635.0,29595.0,4.37,36.06
8,8,8.0,13000,104000,,,,,2014.0,16108.0,1788,14304,1313,10504,5115.0,91022.0,5115.0,40916.0,,,,,1363.0,13014.0,1210.0,11556.0,889.0,8486.0,3462.0,83162.0,3462.0,33056.0,4.37,40.43
9,9,9.0,13000,117000,,,,,2014.0,18122.0,1788,16092,1313,11817,5115.0,96137.0,5115.0,46031.0,,,,,1298.0,14312.0,1153.0,12709.0,846.0,9333.0,3297.0,86459.0,3297.0,36353.0,4.37,44.8
10,10,10.0,13000,130000,,,,,2014.0,20135.0,1788,17880,1313,13130,5115.0,101251.0,5115.0,51145.0,,,,,1236.0,15548.0,1098.0,13806.0,806.0,10139.0,3140.0,89599.0,3140.0,39493.0,4.37,49.17
11,11,11.0,13000,143000,,,,,2014.0,22149.0,1788,19668,1313,14443,5115.0,106366.0,5115.0,56260.0,,,,,1177.0,16725.0,1045.0,14852.0,768.0,10906.0,2990.0,92589.0,2990.0,42483.0,4.37,53.54
12,12,12.0,13000,156000,,,,,2014.0,24162.0,1788,21456,1313,15756,5115.0,111480.0,5115.0,61374.0,,,,,1121.0,17846.0,996.0,15847.0,731.0,11637.0,2848.0,95437.0,2848.0,45331.0,4.37,57.91
13,13,13.0,13000,169000,,,,,2014.0,26176.0,1788,23244,1313,17069,5115.0,116595.0,5115.0,66489.0,,,,,1068.0,18914.0,948.0,16796.0,696.0,12334.0,2712.0,98150.0,2712.0,48044.0,4.37,62.28
post-use,13,14.3,0,169000,0,50106,0,0,0.0,26176.0,0,23244,0,17069,0.0,116595.0,0.0,66489.0,0,50106,0,0,0.0,18914.0,0.0,16796.0,0.0,12334.0,0.0,98150.0,0.0,48044.0,0.0,62.28
