period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13750.0,13750,,,,,1847.0,1847.0,1788.0,1788.0,1389.0,1389.0,5024.0,55130.0,5024.0,5024.0,,,,,1759.0,1759.0,1703.0,1703.0,1323.0,1323.0,4784.0,54890.0,4784.0,4784.0,4.62,10.09
2,2.0,2.0,13750.0,27500,,,,,1847.0,3694.0,1788.0,3576.0,1389.0,2778.0,5024.0,60153.0,5024.0,10047.0,,,,,1675.0,3434.0,1622.0,3325.0,1260.0,2582.0,4557.0,59447.0,4557.0,9341.0,4.62,14.71
3,3.0,3.0,13750.0,41250,,,,,1847.0,5541.0,1788.0,5364.0,1389.0,4166.0,5024.0,65177.0,5024.0,15071.0,,,,,1595.0,5030.0,1545.0,4869.0,1200.0,3782.0,4340.0,63787.0,4340.0,13681.0,4.62,19.34
4,4.0,4.0,13750.0,55000,,,,,1847.0,7388.0,1788.0,7152.0,1389.0,5555.0,5024.0,70201.0,5024.0,20095.0,,,,,1519.0,6549.0,1471.0,6340.0,1143.0,4924.0,4133.0,67920.0,4133.0,17814.0,4.62,23.96
5,5.0,5.0,13750.0,68750,,,,,1847.0,9234.0,1788.0,8940.0,1389.0,6944.0,5024.0,75224.0,5024.0,25118.0,,,,,1447.0,7996.0,1401.0,7741.0,1088.0,6013.0,3936.0,71856.0,3936.0,21750.0,4.62,28.58
6,6.0,6.0,13750.0,82500,,,,,1847.0,11081.0,1788.0,10728.0,1389.0,8332.0,5024.0,80248.0,5024.0,30142.0,,,,,1378.0,9374.0,1334.0,9075.0,1036.0,7049.0,3749.0,75604.0,3749.0,25498.0,4.62,33.2
7,7.0,7.0,13750.0,96250,,,,,1847.0,12928.0,1788.0,12516.0,1389.0,9721.0,5024.0,85272.0,5024.0,35166.0,,,,,1313.0,10687.0,1271.0,10346.0,987.0,8036.0,3570.0,79175.0,3570.0,29069.0,4.62,37.83
8,8.0,8.0,13750.0,110000,,,,,1847.0,14775.0,1788.0,14304.0,1389.0,11110.0,5024.0,90295.0,5024.0,40189.0,,,,,1250.0,11937.0,1210.0,11556.0,940.0,8976.0,3400.0,82575.0,3400.0,32469.0,4.62,42.45
9,9.0,9.0,13750.0,123750,,,,,1847.0,16622.0,1788.0,16092.0,1389.0,12499.0,5024.0,95319.0,5024.0,45213.0,,,,,1191.0,13127.0,1153.0,12709.0,895.0,9871.0,3238.0,85813.0,3238.0,35707.0,4.62,47.07
10,10.0,10.0,13750.0,137500,,,,,1847.0,18469.0,1788.0,17880.0,1389.0,13888.0,5024.0,100342.0,5024.0,50236.0,,,,,1134.0,14261.0,1098.0,13806.0,853.0,10724.0,3084.0,88897.0,3084.0,38791.0,4.62,51.69
10.7,10.7,10.7,9624.99999999999,147125,,,,,1293.0,19762.0,1252.0,19132.0,972.0,14860.0,3517.0,103859.0,3517.0,53753.0,,,,,767.0,15028.0,743.0,14549.0,577.0,11300.0,2086.0,90984.0,2086.0,40878.0,3.24,54.93
post-use,10.7,11.77,0.0,147125,0,50106,0,0,0.0,19762.0,0.0,19132.0,0.0,14860.0,0.0,103859.0,0.0,53753.0,0,50106,0,0,0.0,15028.0,0.0,14549.0,0.0,11300.0,0.0,90984.0,0.0,40878.0,0.0,54.93
