period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,50106,50106,,,0.0,0.0,0,0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,2356.0,2356.0,1788,1788,1338.0,1338.0,5482.0,55588.0,5482.0,5482.0,,,,,2243.0,2243.0,1703.0,1703.0,1275.0,1275.0,5221.0,55327.0,5221.0,5221.0,4.45,9.92
2,2,2.0,13250,26500,,,,,2356.0,4711.0,1788,3576,1338.0,2676.0,5482.0,61070.0,5482.0,10964.0,,,,,2137.0,4380.0,1622.0,3325.0,1214.0,2488.0,4972.0,60299.0,4972.0,10193.0,4.45,14.38
3,3,3.0,13250,39750,,,,,2356.0,7067.0,1788,5364,1338.0,4015.0,5482.0,66552.0,5482.0,16446.0,,,,,2035.0,6415.0,1545.0,4869.0,1156.0,3644.0,4735.0,65034.0,4735.0,14928.0,4.45,18.83
4,4,4.0,13250,53000,,,,,2356.0,9422.0,1788,7152,1338.0,5353.0,5482.0,72033.0,5482.0,21927.0,,,,,1938.0,8353.0,1471.0,6340.0,1101.0,4745.0,4510.0,69544.0,4510.0,19438.0,4.45,23.29
5,5,5.0,13250,66250,,,,,2356.0,11778.0,1788,8940,1338.0,6691.0,5482.0,77515.0,5482.0,27409.0,,,,,1846.0,10199.0,1401.0,7741.0,1049.0,5794.0,4295.0,73840.0,4295.0,23734.0,4.45,27.74
6,6,6.0,13250,79500,,,,,2356.0,14134.0,1788,10728,1338.0,8030.0,5482.0,82997.0,5482.0,32891.0,,,,,1758.0,11956.0,1334.0,9075.0,999.0,6793.0,4091.0,77930.0,4091.0,27824.0,4.45,32.2
7,7,7.0,13250,92750,,,,,2356.0,16489.0,1788,12516,1338.0,9368.0,5482.0,88479.0,5482.0,38373.0,,,,,1674.0,13630.0,1271.0,10346.0,951.0,7744.0,3896.0,81826.0,3896.0,31720.0,4.45,36.65
8,8,8.0,13250,106000,,,,,2356.0,18845.0,1788,14304,1338.0,10706.0,5482.0,93961.0,5482.0,43855.0,,,,,1594.0,15225.0,1210.0,11556.0,906.0,8649.0,3710.0,85536.0,3710.0,35430.0,4.45,41.1
9,9,9.0,13250,119250,,,,,2356.0,21201.0,1788,16092,1338.0,12044.0,5482.0,99443.0,5482.0,49337.0,,,,,1518.0,16743.0,1153.0,12709.0,863.0,9512.0,3534.0,89070.0,3534.0,38964.0,4.45,45.56
10,10,10.0,13250,132500,,,,,2356.0,23556.0,1788,17880,1338.0,13382.0,5482.0,104925.0,5482.0,54819.0,,,,,1446.0,18189.0,1098.0,13806.0,822.0,10334.0,3365.0,92436.0,3365.0,42330.0,4.45,50.01
11,11,11.0,13250,145750,,,,,2356.0,25912.0,1788,19668,1338.0,14721.0,5482.0,110407.0,5482.0,60301.0,,,,,1377.0,19567.0,1045.0,14852.0,782.0,11116.0,3205.0,95641.0,3205.0,45535.0,4.45,54.47
12,12,12.0,13250,159000,,,,,2356.0,28267.0,1788,21456,1338.0,16059.0,5482.0,115888.0,5482.0,65782.0,,,,,1312.0,20878.0,996.0,15847.0,745.0,11861.0,3053.0,98693.0,3053.0,48587.0,4.45,58.92
13,13,13.0,13250,172250,,,,,2356.0,30623.0,1788,23244,1338.0,17397.0,5482.0,121370.0,5482.0,71264.0,,,,,1249.0,22128.0,948.0,16796.0,710.0,12571.0,2907.0,101600.0,2907.0,51494.0,4.45,63.37
post-use,13,14.3,0,172250,0,50106,0,0,0.0,30623.0,0,23244,0.0,17397.0,0.0,121370.0,0.0,71264.0,0,50106,0,0,0.0,22128.0,0.0,16796.0,0.0,12571.0,0.0,101600.0,0.0,51494.0,0.0,63.37
