period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,1643.0,1643.0,1788.0,1788.0,1162.0,1162.0,4592.0,54698.0,4592.0,4592.0,,,,,1564.0,1564.0,1703.0,1703.0,1106.0,1106.0,4373.0,54479.0,4373.0,4373.0,3.87,9.34
2,2.0,2.0,11500.0,23000,,,,,1643.0,3285.0,1788.0,3576.0,1162.0,2323.0,4592.0,59290.0,4592.0,9184.0,,,,,1490.0,3054.0,1622.0,3325.0,1054.0,2160.0,4165.0,58644.0,4165.0,8538.0,3.87,13.2
3,3.0,3.0,11500.0,34500,,,,,1643.0,4928.0,1788.0,5364.0,1162.0,3484.0,4592.0,63882.0,4592.0,13776.0,,,,,1419.0,4473.0,1545.0,4869.0,1003.0,3163.0,3967.0,62611.0,3967.0,12505.0,3.87,17.07
4,4.0,4.0,11500.0,46000,,,,,1643.0,6570.0,1788.0,7152.0,1162.0,4646.0,4592.0,68474.0,4592.0,18368.0,,,,,1351.0,5824.0,1471.0,6340.0,956.0,4119.0,3778.0,66389.0,3778.0,16283.0,3.87,20.93
5,5.0,5.0,11500.0,57500,,,,,1643.0,8213.0,1788.0,8940.0,1162.0,5808.0,4592.0,73066.0,4592.0,22960.0,,,,,1287.0,7111.0,1401.0,7741.0,910.0,5029.0,3598.0,69987.0,3598.0,19881.0,3.87,24.8
6,6.0,6.0,11500.0,69000,,,,,1643.0,9855.0,1788.0,10728.0,1162.0,6969.0,4592.0,77658.0,4592.0,27552.0,,,,,1226.0,8337.0,1334.0,9075.0,867.0,5895.0,3427.0,73414.0,3427.0,23308.0,3.87,28.67
7,7.0,7.0,11500.0,80500,,,,,1643.0,11498.0,1788.0,12516.0,1162.0,8130.0,4592.0,82250.0,4592.0,32144.0,,,,,1167.0,9504.0,1271.0,10346.0,825.0,6721.0,3263.0,76677.0,3263.0,26571.0,3.87,32.53
8,8.0,8.0,11500.0,92000,,,,,1643.0,13140.0,1788.0,14304.0,1162.0,9292.0,4592.0,86842.0,4592.0,36736.0,,,,,1112.0,10616.0,1210.0,11556.0,786.0,7507.0,3108.0,79785.0,3108.0,29679.0,3.87,36.4
8.9,8.9,8.9,10350.000000000004,102350,,,,,1478.0,14619.0,1609.0,15913.0,1045.0,10337.0,4133.0,90975.0,4133.0,40869.0,,,,,958.0,11574.0,1042.0,12599.0,677.0,8184.0,2677.0,82462.0,2677.0,32356.0,3.48,39.88
post-use,8.9,9.790000000000001,0.0,102350,0,50106,0,0,0.0,14619.0,0.0,15913.0,0.0,10337.0,0.0,90975.0,0.0,40869.0,0,50106,0,0,0.0,11574.0,0.0,12599.0,0.0,8184.0,0.0,82462.0,0.0,32356.0,0.0,39.88
