period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,1229.0,1229.0,1884.0,1884.0,793.0,793.0,-3594.0,68406.0,-3594.0,-3594.0,,,-7143.0,-7143.0,1171.0,1171.0,1794.0,1794.0,755.0,755.0,-3423.0,68577.0,-3423.0,-3423.0,1.5,11.32
2,2.0,2.0,13000.0,26000,,,,,1229.0,2459.0,1884.0,3768.0,793.0,1586.0,3906.0,72313.0,3906.0,313.0,,,,,1115.0,2286.0,1709.0,3503.0,719.0,1475.0,3543.0,72121.0,3543.0,121.0,1.5,12.83
3,3.0,3.0,13000.0,39000,,,,,1229.0,3688.0,1884.0,5652.0,793.0,2379.0,3906.0,76219.0,3906.0,4219.0,,,,,1062.0,3348.0,1627.0,5131.0,685.0,2160.0,3374.0,75495.0,3374.0,3495.0,1.5,14.33
4,4.0,4.0,13000.0,52000,,,,,1229.0,4917.0,1884.0,7536.0,793.0,3172.0,3906.0,80125.0,3906.0,8125.0,,,,,1011.0,4359.0,1550.0,6681.0,652.0,2812.0,3214.0,78709.0,3214.0,6709.0,1.5,15.83
5,5.0,5.0,13000.0,65000,,,,,1229.0,6146.0,1884.0,9420.0,793.0,3965.0,3906.0,84031.0,3906.0,12031.0,,,,,963.0,5322.0,1476.0,8157.0,621.0,3433.0,3061.0,81769.0,3061.0,9769.0,1.5,17.33
6,6.0,6.0,13000.0,78000,,,,,1229.0,7376.0,1884.0,11304.0,793.0,4758.0,3906.0,87938.0,3906.0,15938.0,,,,,917.0,6239.0,1406.0,9563.0,592.0,4025.0,2915.0,84684.0,2915.0,12684.0,1.5,18.83
7,7.0,7.0,13000.0,91000,,,,,1229.0,8605.0,1884.0,13188.0,793.0,5551.0,3906.0,91844.0,3906.0,19844.0,,,,,874.0,7113.0,1339.0,10902.0,564.0,4589.0,2776.0,87460.0,2776.0,15460.0,1.5,20.33
8,8.0,8.0,13000.0,104000,,,,,1229.0,9834.0,1884.0,15072.0,793.0,6344.0,3906.0,95750.0,3906.0,23750.0,,,,,832.0,7945.0,1275.0,12177.0,537.0,5125.0,2644.0,90104.0,2644.0,18104.0,1.5,21.84
9,9.0,9.0,13000.0,117000,,,,,1229.0,11064.0,1884.0,16956.0,793.0,7137.0,3906.0,99657.0,3906.0,27657.0,,,,,792.0,8738.0,1214.0,13391.0,511.0,5637.0,2518.0,92622.0,2518.0,20622.0,1.5,23.34
10,10.0,10.0,13000.0,130000,,,,,1229.0,12293.0,1884.0,18840.0,793.0,7930.0,3906.0,103563.0,3906.0,31563.0,,,,,755.0,9492.0,1157.0,14548.0,487.0,6123.0,2398.0,95020.0,2398.0,23020.0,1.5,24.84
10.7,10.7,10.7,9099.99999999999,139100,,,,,860.0,13153.0,1319.0,20159.0,555.0,8485.0,2734.0,106297.0,2734.0,34297.0,,,,,511.0,10003.0,782.0,15330.0,329.0,6453.0,1622.0,96643.0,1622.0,24643.0,1.05,25.89
post-use,10.7,11.77,0.0,139100,0,72000,0,-7500,0.0,13153.0,0.0,20159.0,0.0,8485.0,0.0,106297.0,0.0,34297.0,0,72000,0.0,-7143.0,0.0,10003.0,0.0,15330.0,0.0,6453.0,0.0,96643.0,0.0,24643.0,0.0,25.89
